sample_id,annotation_priority,suggested_difficulty_label,full_context_qa,required_evidence_ids,human_valid,human_difficulty_label,human_answer_directly_found,human_evidence_ids,human_notes,num_required_sentences,suggested_answer_directly_found,blind_sufficient,blind_reason,story_name,source_index,attribute,fairytale_scope,fairytale_explicitness,full_context_numbered,removal_summary,selector_difficulty,selector_evidence_ids,selector_answer_directly_found,selector_reason,evidence_context,qa
EV001,high,Easy,"Full context:
[S0] one day the whole fish tribe came back very tired from a hunting expedition , and looked about for a nice , cool spot in which to pitch their camp .
[S1] it was very hot , and they thought that they could not find a more comfortable place than under the branches of a large tree which grew by the bank of a river .
[S2] so they made their fire to cook some food , right on the edge of a steep bank , which had a deep pool of water lying beneath it at the bottom .
[S3] while the food was cooking they all stretched themselves lazily out under the tree , and were just dropping off to sleep when a big black cloud which they had never noticed spread over the sun , and heavy drops of rain began to fall , so that the fire was almost put out , and that , you know , is a very serious thing in savage countries where they have no matches , for it is very hard to light it again .
[S4] to make matters worse , an icy wind began to blow , and the poor fishes were chilled right through their bodies .
[S5] ' this will never do , ' said thuggai , the oldest of the fish tribe .
[S6] ' we shall die of cold unless we can light the fire again , ' and he bade his sons rub two sticks together in the hope of kindling a flame , but though they rubbed till they were tired , not a spark could they produce .

QA:
Q: what did the fish tribe do after they came back from hunting expedition ?
A: looked about for a nice , cool spot .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,a-fish-story,0,action,local,explicit,"[S0] one day the whole fish tribe came back very tired from a hunting expedition , and looked about for a nice , cool spot in which to pitch their camp .
[S1] it was very hot , and they thought that they could not find a more comfortable place than under the branches of a large tree which grew by the bank of a river .
[S2] so they made their fire to cook some food , right on the edge of a steep bank , which had a deep pool of water lying beneath it at the bottom .
[S3] while the food was cooking they all stretched themselves lazily out under the tree , and were just dropping off to sleep when a big black cloud which they had never noticed spread over the sun , and heavy drops of rain began to fall , so that the fire was almost put out , and that , you know , is a very serious thing in savage countries where they have no matches , for it is very hard to light it again .
[S4] to make matters worse , an icy wind began to blow , and the poor fishes were chilled right through their bodies .
[S5] ' this will never do , ' said thuggai , the oldest of the fish tribe .
[S6] ' we shall die of cold unless we can light the fire again , ' and he bade his sons rub two sticks together in the hope of kindling a flame , but though they rubbed till they were tired , not a spark could they produce .",,Easy,[0],yes,,"[S0] one day the whole fish tribe came back very tired from a hunting expedition , and looked about for a nice , cool spot in which to pitch their camp .","Q: what did the fish tribe do after they came back from hunting expedition ?
A: looked about for a nice , cool spot ."
EV002,high,Easy,"Full context:
[S0] he then drew from his sack a curiously - wrought antique pipe , and having filled it with tobacco , rendered mild by an admixture of certain dried leaves , he handed it to his guest .
[S1] when this ceremony was attended to , they began to speak .
[S2] "" i blow my breath , "" said the old man , "" and the streams stand still . ""
[S3] "" the water becomes stiff and hard as clear stone . ""
[S4] "" i breathe , "" said the young man , "" and flowers spring up all over the plains . ""
[S5] "" i shake my locks , "" retorted the old man , "" and snow covers the land . ""
[S6] "" the leaves fall from the trees at my command , and my breath blows them away . ""
[S7] "" the birds rise from the water and fly to a distant land . ""
[S8] "" the animals hide themselves from the glance of my eye , and the very ground where i walk becomes as hard as flint . ""
[S9] "" i shake my ringlets , "" rejoined the young man , "" and warm showers of soft rain fall upon the earth . ""
[S10] "" the plants lift up their heads out of the ground like the eyes of children glistening with delight . ""
[S11] "" my voice recalls the birds . ""
[S12] "" the warmth of my breath unlocks the streams . ""
[S13] "" music fills the groves wherever i walk , and all nature welcomes my approach . ""

QA:
Q: what happened after the young man breathed ?
A: flowers sprang up all over the plains .",[4],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-winter-spirit-and-his-visitor,1,outcome resolution,local,explicit,"[S0] he then drew from his sack a curiously - wrought antique pipe , and having filled it with tobacco , rendered mild by an admixture of certain dried leaves , he handed it to his guest .
[S1] when this ceremony was attended to , they began to speak .
[S2] "" i blow my breath , "" said the old man , "" and the streams stand still . ""
[S3] "" the water becomes stiff and hard as clear stone . ""
[S4] "" i breathe , "" said the young man , "" and flowers spring up all over the plains . ""
[S5] "" i shake my locks , "" retorted the old man , "" and snow covers the land . ""
[S6] "" the leaves fall from the trees at my command , and my breath blows them away . ""
[S7] "" the birds rise from the water and fly to a distant land . ""
[S8] "" the animals hide themselves from the glance of my eye , and the very ground where i walk becomes as hard as flint . ""
[S9] "" i shake my ringlets , "" rejoined the young man , "" and warm showers of soft rain fall upon the earth . ""
[S10] "" the plants lift up their heads out of the ground like the eyes of children glistening with delight . ""
[S11] "" my voice recalls the birds . ""
[S12] "" the warmth of my breath unlocks the streams . ""
[S13] "" music fills the groves wherever i walk , and all nature welcomes my approach . """,,Easy,[4],yes,,"[S4] "" i breathe , "" said the young man , "" and flowers spring up all over the plains . ""","Q: what happened after the young man breathed ?
A: flowers sprang up all over the plains ."
EV003,high,Easy,"Full context:
[S0] in an instant the revelry ceased , and the fairies , with cries of alarm , crowded together and rushed towards the crag , dragging the countryman along in their midst .
[S1] as they reached the rock , a mysterious door , which he never remembered having seen before , opened in it of its own accord , and shut again with a crash as soon as the fairy host had all trooped through .
[S2] the door led into a large , dimly lighted hall full of tiny couches .
[S3] here the little folk sank to rest , tired out with their exertions , while the good man sat down on a piece of rock in the corner , wondering what would happen next .
[S4] but there seemed to be some kind of spell thrown over his senses .
[S5] even when the fairies awoke and began to go about their household occupations , and to carry out certain curious practices which he had never seen before , and which , as you will hear , he was forbidden to speak of afterwards , he was content to sit and watch them , without in any way attempting to escape .

QA:
Q: what did the poor man do after he went through the door ?
A: sat down on a piece of rock in the corner , wondering what would happen next .",[3],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-fairies-of-merlin-crag,2,action,local,explicit,"[S0] in an instant the revelry ceased , and the fairies , with cries of alarm , crowded together and rushed towards the crag , dragging the countryman along in their midst .
[S1] as they reached the rock , a mysterious door , which he never remembered having seen before , opened in it of its own accord , and shut again with a crash as soon as the fairy host had all trooped through .
[S2] the door led into a large , dimly lighted hall full of tiny couches .
[S3] here the little folk sank to rest , tired out with their exertions , while the good man sat down on a piece of rock in the corner , wondering what would happen next .
[S4] but there seemed to be some kind of spell thrown over his senses .
[S5] even when the fairies awoke and began to go about their household occupations , and to carry out certain curious practices which he had never seen before , and which , as you will hear , he was forbidden to speak of afterwards , he was content to sit and watch them , without in any way attempting to escape .",,Easy,[3],yes,,"[S3] here the little folk sank to rest , tired out with their exertions , while the good man sat down on a piece of rock in the corner , wondering what would happen next .","Q: what did the poor man do after he went through the door ?
A: sat down on a piece of rock in the corner , wondering what would happen next ."
EV004,high,Easy,"Full context:
[S0] finn , bearing the head , passed through the sleepers into the palace and spiked the head on his own spear , and drove the spear - end into the ground at conn 's end of the great hall .
[S1] then the sickness and faintness of death came upon finn , also a great horror and despair overshadowed him , so that he was about to give himself up for utterly lost .
[S2] yet he recalled one of his marvellous attributes , and approaching a silver vessel , into which pure water ever flowed and which was always full , he made a cup with his two hands and , lifting it to his mouth , drank , and the blood began to circulate in his veins , and strength returned to his limbs , and the cheerful hue of rosy health to his cheeks .
[S3] having rested himself sufficiently he went forth and shouted to the sleeping host , and called the captains by their names , beginning with conn .
[S4] they awoke and rose up , though dazed and stupid , for it was difficult for any man , no matter how he had stopped his ears , to avoid hearing finn when he sent forth his voice of power .

QA:
Q: how did strength return to finn ?
A: he recalled one of his marvellous attributes , and approaching a silver vessel , he made a cup with his two hands and , lifting it to his mouth , drank .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-coming-of-finn,3,action,local,explicit,"[S0] finn , bearing the head , passed through the sleepers into the palace and spiked the head on his own spear , and drove the spear - end into the ground at conn 's end of the great hall .
[S1] then the sickness and faintness of death came upon finn , also a great horror and despair overshadowed him , so that he was about to give himself up for utterly lost .
[S2] yet he recalled one of his marvellous attributes , and approaching a silver vessel , into which pure water ever flowed and which was always full , he made a cup with his two hands and , lifting it to his mouth , drank , and the blood began to circulate in his veins , and strength returned to his limbs , and the cheerful hue of rosy health to his cheeks .
[S3] having rested himself sufficiently he went forth and shouted to the sleeping host , and called the captains by their names , beginning with conn .
[S4] they awoke and rose up , though dazed and stupid , for it was difficult for any man , no matter how he had stopped his ears , to avoid hearing finn when he sent forth his voice of power .",,Easy,[2],yes,,"[S2] yet he recalled one of his marvellous attributes , and approaching a silver vessel , into which pure water ever flowed and which was always full , he made a cup with his two hands and , lifting it to his mouth , drank , and the blood began to circulate in his veins , and strength returned to his limbs , and the cheerful hue of rosy health to his cheeks .","Q: how did strength return to finn ?
A: he recalled one of his marvellous attributes , and approaching a silver vessel , he made a cup with his two hands and , lifting it to his mouth , drank ."
EV005,high,Easy,"Full context:
[S0] the woodcutter , for such he seemed to be by his dress , marveled at all he saw , and said to himself : "" this is no ordinary child . ""
[S1] "" whose son can he be ? ""
[S2] "" i will find out before this day is done . ""
[S3] he hastened after the strange party and crossed the bridge behind them .
[S4] kintaro knew nothing of all this , and little guessed that he was being followed .
[S5] on reaching the other side of the river he and the animals separated , they to their lairs in the woods and he to his mother , who was waiting for him .
[S6] "" oh , mother , "" said kintaro , "" do n't you know that i am the strongest ? ""
[S7] "" there was no need for me to wrestle with any of them . ""
[S8] "" but next to you then , who is the strongest ? ""
[S9] "" the bear comes next to me in strength , "" answered kintaro .
[S10] "" and after the bear ? "" asked his mother again .
[S11] "" next to the bear it is not easy to say which is the strongest , for the deer , the monkey , and the hare all seem to be as strong as each other , "" said kintaro .
[S12] suddenly kintaro and his mother were startled by a voice from outside .
[S13] "" listen to me , little boy ! ""
[S14] "" next time you go , take this old man with you to the wrestling match . ""
[S15] "" he would like to join the sport too ! ""

QA:
Q: who will the voice from outside be ?
A: the woodcutter .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,adventures-of-kintaro-golden-boy,4,character,summary,explicit,"[S0] the woodcutter , for such he seemed to be by his dress , marveled at all he saw , and said to himself : "" this is no ordinary child . ""
[S1] "" whose son can he be ? ""
[S2] "" i will find out before this day is done . ""
[S3] he hastened after the strange party and crossed the bridge behind them .
[S4] kintaro knew nothing of all this , and little guessed that he was being followed .
[S5] on reaching the other side of the river he and the animals separated , they to their lairs in the woods and he to his mother , who was waiting for him .
[S6] "" oh , mother , "" said kintaro , "" do n't you know that i am the strongest ? ""
[S7] "" there was no need for me to wrestle with any of them . ""
[S8] "" but next to you then , who is the strongest ? ""
[S9] "" the bear comes next to me in strength , "" answered kintaro .
[S10] "" and after the bear ? "" asked his mother again .
[S11] "" next to the bear it is not easy to say which is the strongest , for the deer , the monkey , and the hare all seem to be as strong as each other , "" said kintaro .
[S12] suddenly kintaro and his mother were startled by a voice from outside .
[S13] "" listen to me , little boy ! ""
[S14] "" next time you go , take this old man with you to the wrestling match . ""
[S15] "" he would like to join the sport too ! """,,Easy,[0],yes,,"[S0] the woodcutter , for such he seemed to be by his dress , marveled at all he saw , and said to himself : "" this is no ordinary child . ""","Q: who will the voice from outside be ?
A: the woodcutter ."
EV006,high,Easy,"Full context:
[S0] "" in heaven 's name , what has happened here ? "" he asked , as he looked around .
[S1] all the silverware was still on the table , but all the tasty dishes had turned to moss and toadstools , and frogs and toads and the like .
[S2] "" what does it all mean ? "" said he .
[S3] "" you are sitting here in all your glory , just like a bride ? ""
[S4] "" how can you ask me ? "" answered the maiden .
[S5] "" you have been sitting here yourself , and talking about our wedding the whole afternoon ! ""
[S6] "" no , i have just come , "" said he .
[S7] "" it must have been some one else who had taken my shape ! ""

QA:
Q: how did the groom know it must have been someone else who had taken his shape ?
A: he had just come .",[6],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,troll-wedding,5,action,local,explicit,"[S0] "" in heaven 's name , what has happened here ? "" he asked , as he looked around .
[S1] all the silverware was still on the table , but all the tasty dishes had turned to moss and toadstools , and frogs and toads and the like .
[S2] "" what does it all mean ? "" said he .
[S3] "" you are sitting here in all your glory , just like a bride ? ""
[S4] "" how can you ask me ? "" answered the maiden .
[S5] "" you have been sitting here yourself , and talking about our wedding the whole afternoon ! ""
[S6] "" no , i have just come , "" said he .
[S7] "" it must have been some one else who had taken my shape ! """,,Easy,[6],yes,,"[S6] "" no , i have just come , "" said he .","Q: how did the groom know it must have been someone else who had taken his shape ?
A: he had just come ."
EV007,high,Easy,"Full context:
[S0] the fisherman spent several days in the cave , satisfying his hunger with the green slime , which he found edible and which tasted like rice - mush .
[S1] at last he found a way out again .
[S2] he told the district mandarin what had happened to him , and the latter reported the matter to the emperor .
[S3] the emperor sent for a wise man and questioned him concerning it .

QA:
Q: what did the fisherman eat in the cave ?
A: green slime .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-dragon-princess,6,action,local,explicit,"[S0] the fisherman spent several days in the cave , satisfying his hunger with the green slime , which he found edible and which tasted like rice - mush .
[S1] at last he found a way out again .
[S2] he told the district mandarin what had happened to him , and the latter reported the matter to the emperor .
[S3] the emperor sent for a wise man and questioned him concerning it .",,Easy,[0],yes,,"[S0] the fisherman spent several days in the cave , satisfying his hunger with the green slime , which he found edible and which tasted like rice - mush .","Q: what did the fisherman eat in the cave ?
A: green slime ."
EV008,high,Easy,"Full context:
[S0] so the men of ulster set out for emain , finchoem having the child with her .
[S1] and when they came there morann gave his judgment .
[S2] "" it is for conchubar , "" he said , "" to help the child to a good name , for he is next of kin to him . ""
[S3] "" let sencha teach him words and speaking . ""
[S4] "" let fergus hold him on his knees . ""
[S5] "" let amergin be his tutor . ""
[S6] and he said , "" this child will be praised by all , by chariot drivers and fighters , by kings and by wise men . ""
[S7] "" he shall be loved by many men . ""
[S8] "" he will avenge all your wrongs . ""
[S9] "" he will defend your fords . ""
[S10] "" he will fight all your battles . ""
[S11] and so it was settled .
[S12] and the child was left until he should come to sensible years with his mother dechtire and with her husband sualtim .
[S13] and they brought him up upon the plain of muirthemne , and the name he was known by was setanta , son of sualtim .

QA:
Q: why did morann say conchubar should raise the child ?
A: to help the child to a good name , for he was next of kin to him .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,cuchulain-of-muirthemne,7,causal relationship,local,explicit,"[S0] so the men of ulster set out for emain , finchoem having the child with her .
[S1] and when they came there morann gave his judgment .
[S2] "" it is for conchubar , "" he said , "" to help the child to a good name , for he is next of kin to him . ""
[S3] "" let sencha teach him words and speaking . ""
[S4] "" let fergus hold him on his knees . ""
[S5] "" let amergin be his tutor . ""
[S6] and he said , "" this child will be praised by all , by chariot drivers and fighters , by kings and by wise men . ""
[S7] "" he shall be loved by many men . ""
[S8] "" he will avenge all your wrongs . ""
[S9] "" he will defend your fords . ""
[S10] "" he will fight all your battles . ""
[S11] and so it was settled .
[S12] and the child was left until he should come to sensible years with his mother dechtire and with her husband sualtim .
[S13] and they brought him up upon the plain of muirthemne , and the name he was known by was setanta , son of sualtim .",,Easy,[2],yes,,"[S2] "" it is for conchubar , "" he said , "" to help the child to a good name , for he is next of kin to him . ""","Q: why did morann say conchubar should raise the child ?
A: to help the child to a good name , for he was next of kin to him ."
EV009,high,Easy,"Full context:
[S0] she took a few steps , such as a crawling animal may take , and soon found herself on a road beside which people dwelt .
[S1] there were flower gardens as well as kitchen gardens .
[S2] and she sat down to rest by a kitchen garden .
[S3] "" what a number of different creatures there are that i never knew ! ""
[S4] "" and how beautiful and great the world is ! ""
[S5] "" but one must look round in it , and not stay in one spot . ""
[S6] and then she hopped into the kitchen garden .
[S7] "" how green it is here ! ""
[S8] "" how beautiful it is here ! ""
[S9] "" i know that , "" said the caterpillar , on the leaf , "" my leaf is the largest here . ""
[S10] "" it hides half the world from me , but i do n't care for the world . ""
[S11] "" cluck , cluck ! ""
[S12] and some fowls came .
[S13] they tripped about in the cabbage garden .
[S14] the fowl who marched at the head of them had a long sight .
[S15] she spied the caterpillar on the green leaf , and pecked at it , so that the caterpillar fell on the ground , where it twisted and writhed .

QA:
Q: what was the first animal that the little toad encounters ?
A: catepillar .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-toad,8,action,local,explicit,"[S0] she took a few steps , such as a crawling animal may take , and soon found herself on a road beside which people dwelt .
[S1] there were flower gardens as well as kitchen gardens .
[S2] and she sat down to rest by a kitchen garden .
[S3] "" what a number of different creatures there are that i never knew ! ""
[S4] "" and how beautiful and great the world is ! ""
[S5] "" but one must look round in it , and not stay in one spot . ""
[S6] and then she hopped into the kitchen garden .
[S7] "" how green it is here ! ""
[S8] "" how beautiful it is here ! ""
[S9] "" i know that , "" said the caterpillar , on the leaf , "" my leaf is the largest here . ""
[S10] "" it hides half the world from me , but i do n't care for the world . ""
[S11] "" cluck , cluck ! ""
[S12] and some fowls came .
[S13] they tripped about in the cabbage garden .
[S14] the fowl who marched at the head of them had a long sight .
[S15] she spied the caterpillar on the green leaf , and pecked at it , so that the caterpillar fell on the ground , where it twisted and writhed .",,Easy,[0],yes,,"[S0] she took a few steps , such as a crawling animal may take , and soon found herself on a road beside which people dwelt .","Q: what was the first animal that the little toad encounters ?
A: catepillar ."
EV010,high,Easy,"Full context:
[S0] "" regret not , my father , the change you behold . ""
[S1] "" i shall be happier in my present state than i could have been as a man . ""
[S2] "" i shall always be the friend of men , and keep near their dwellings . ""
[S3] "" i shall ever be happy and contented ; and although i could not gratify your wishes as a warrior , it will be my daily aim to make you amends for it as a harbinger of peace and joy . ""
[S4] "" i will cheer you by my songs , and strive to inspire in others the joy and lightsomeness of heart i feel in my present state . ""
[S5] "" this will be some compensation to you for the loss of glory you expected . ""
[S6] "" i am now free from the cares and pains of human life . ""
[S7] "" my food is spontaneously furnished by the mountains and fields , and my pathway of life is in the bright air . ""
[S8] then stretching himself on his toes , as if delighted with the gift of wings , iadilla caroled one of his sweetest songs , and flew away into a neighboring wood .

QA:
Q: how will iadilla compensate his father's loss of glory ?
A: iadilla will cheer his father by his songs , and strive to inspire in others the joy and lightsomeness of heart he feels in his present state .",[4],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-origin-of-the-robin,9,action,local,explicit,"[S0] "" regret not , my father , the change you behold . ""
[S1] "" i shall be happier in my present state than i could have been as a man . ""
[S2] "" i shall always be the friend of men , and keep near their dwellings . ""
[S3] "" i shall ever be happy and contented ; and although i could not gratify your wishes as a warrior , it will be my daily aim to make you amends for it as a harbinger of peace and joy . ""
[S4] "" i will cheer you by my songs , and strive to inspire in others the joy and lightsomeness of heart i feel in my present state . ""
[S5] "" this will be some compensation to you for the loss of glory you expected . ""
[S6] "" i am now free from the cares and pains of human life . ""
[S7] "" my food is spontaneously furnished by the mountains and fields , and my pathway of life is in the bright air . ""
[S8] then stretching himself on his toes , as if delighted with the gift of wings , iadilla caroled one of his sweetest songs , and flew away into a neighboring wood .",,Easy,[4],yes,,"[S4] "" i will cheer you by my songs , and strive to inspire in others the joy and lightsomeness of heart i feel in my present state . ""","Q: how will iadilla compensate his father's loss of glory ?
A: iadilla will cheer his father by his songs , and strive to inspire in others the joy and lightsomeness of heart he feels in his present state ."
