sample_id,annotation_priority,suggested_difficulty_label,full_context_qa,required_evidence_ids,human_valid,human_difficulty_label,human_answer_directly_found,human_evidence_ids,human_notes,num_required_sentences,suggested_answer_directly_found,blind_sufficient,blind_reason,story_name,source_index,attribute,fairytale_scope,fairytale_explicitness,full_context_numbered,full_context_zh,removal_summary,selector_difficulty,selector_evidence_ids,selector_answer_directly_found,selector_reason,evidence_context_zh,qa_zh,evidence_context,qa
EV151,high,Easy,"Full context:
[S0] so timmy willie said good - bye to his new friends , and hid in the hamper with a crumb of cake and a withered cabbage leaf ; and after much jolting , he was set down safely in his own garden .

QA:
Q: what happened to timmy after he got in the hamper ?
A: he was set down safely in his own garden .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,tale-of-johnny-town-mouse,150,outcome resolution,local,explicit,"[S0] so timmy willie said good - bye to his new friends , and hid in the hamper with a crumb of cake and a withered cabbage leaf ; and after much jolting , he was set down safely in his own garden .",[S0] 于是小威利向新朋友们道别，带着一块蛋糕屑和一片枯萎的卷心菜叶躲进了提篮；经过一番颠簸后，他被安全地放回了自家花园。,,Easy,[0],yes,,[S0] 于是小威利向新朋友们道别，带着一块蛋糕屑和一片枯萎的卷心菜叶躲进了提篮；经过一番颠簸后，他被安全地放回了自家花园。,"Q: 小威利进入提篮后发生了什么？
A: 他被安全地放回了自家花园。","[S0] so timmy willie said good - bye to his new friends , and hid in the hamper with a crumb of cake and a withered cabbage leaf ; and after much jolting , he was set down safely in his own garden .","Q: what happened to timmy after he got in the hamper ?
A: he was set down safely in his own garden ."
EV152,high,Easy,"Full context:
[S0] after a time the priest came by , and he was so old and decrepit that his wife and daughter led him .
[S1] and when they came to the spot where the schoolmaster was standing , they stopped and invited him to come to church and hear mass .
[S2] the schoolmaster thought for a moment ; but since it occurred to him that it might be amusing to see how these people worshiped god , he said he would go along , if he did not thereby suffer harm .
[S3] no , no harm should come to him , said they , but rather a blessing .
[S4] in the church all went forward in a quiet and orderly manner , there were neither dogs nor crying children to disturb the service , and the singing was good -- but he could not make out the words .
[S5] when the priest had been led to the pulpit he delivered what seemed to the listening schoolmaster a really fine and edifying sermon -- but one , it appeared to him , of quite a peculiar trend of thought , which he was not always able to follow .
[S6] nor did the "" our father in heaven ... ""
[S7] sound just right , and the "" deliver us from evil ... ""
[S8] he did not hear at all .
[S9] nor was the name of jesus uttered ; and at the close no blessing was spoken .

QA:
Q: what did the priest, wife, and daughter do when they saw the schoolmaster ?
A: stopped and invited him to come to church and hear mass .",[1],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,secret-church,151,action,local,explicit,"[S0] after a time the priest came by , and he was so old and decrepit that his wife and daughter led him .
[S1] and when they came to the spot where the schoolmaster was standing , they stopped and invited him to come to church and hear mass .
[S2] the schoolmaster thought for a moment ; but since it occurred to him that it might be amusing to see how these people worshiped god , he said he would go along , if he did not thereby suffer harm .
[S3] no , no harm should come to him , said they , but rather a blessing .
[S4] in the church all went forward in a quiet and orderly manner , there were neither dogs nor crying children to disturb the service , and the singing was good -- but he could not make out the words .
[S5] when the priest had been led to the pulpit he delivered what seemed to the listening schoolmaster a really fine and edifying sermon -- but one , it appeared to him , of quite a peculiar trend of thought , which he was not always able to follow .
[S6] nor did the "" our father in heaven ... ""
[S7] sound just right , and the "" deliver us from evil ... ""
[S8] he did not hear at all .
[S9] nor was the name of jesus uttered ; and at the close no blessing was spoken .","[S0] 过了一阵子，牧师经过这里，他老态龙钟，由妻子和女儿搀扶着。
[S1] 当他们走到教师站立的地方时，停下脚步邀请他去教堂听弥撒。
[S2] 教师思索片刻；但想到看看这些人如何敬拜上帝或许有趣，便说如果不会因此受害就愿意同去。
[S3] 他们保证说不会受害，反而会得到祝福。
[S4] 教堂里一切井然有序，没有狗吠或孩童哭闹干扰仪式，唱诗也很美妙——但他听不懂歌词。
[S5] 牧师被扶上布道坛后，在教师听来发表了一篇真正精彩而有益的布道——但似乎带着某种独特的思想倾向，他时常跟不上思路。
[S6] 连""我们在天上的父...""
[S7] 听起来也不太对劲，而""救我们脱离凶恶...""
[S8] 他压根没听见。
[S9] 耶稣之名也未被提及；最后更没有赐福仪式。",,Easy,[1],yes,,[S1] 当他们走到教师站立的地方时，停下脚步邀请他去教堂听弥撒。,"Q: 牧师、妻子和女儿见到教师时做了什么？
A: 停下脚步邀请他去教堂听弥撒。","[S1] and when they came to the spot where the schoolmaster was standing , they stopped and invited him to come to church and hear mass .","Q: what did the priest, wife, and daughter do when they saw the schoolmaster ?
A: stopped and invited him to come to church and hear mass ."
EV153,high,Easy,"Full context:
[S0] then they allowed the waters to gather into rivers and seas , and hills and plains made their appearance .
[S1] so the heavens opened and the earth was divided .
[S2] and there were sun , moon and all the stars , wind , clouds , rain , and dew .
[S3] the yellow ancient set earth 's purest power spinning in a circle , and added the effect of fire and water thereto .
[S4] then there came forth grasses and trees , birds and beasts , and the tribes of the serpents and insects , fishes and turtles .
[S5] the wood prince and the mother of metals combined light and darkness , and thus created the human race as men and women .
[S6] and thus the world gradually came to be .

QA:
Q: how did the wood prince and the mother of metals create the human race ?
A: the wood prince and the mother of metals combined light and darkness .",[5],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,how-the-five-ancients-became-men,152,action,local,explicit,"[S0] then they allowed the waters to gather into rivers and seas , and hills and plains made their appearance .
[S1] so the heavens opened and the earth was divided .
[S2] and there were sun , moon and all the stars , wind , clouds , rain , and dew .
[S3] the yellow ancient set earth 's purest power spinning in a circle , and added the effect of fire and water thereto .
[S4] then there came forth grasses and trees , birds and beasts , and the tribes of the serpents and insects , fishes and turtles .
[S5] the wood prince and the mother of metals combined light and darkness , and thus created the human race as men and women .
[S6] and thus the world gradually came to be .","[S0] 接着他们让水汇聚成江河湖海，山丘平原随之显现。
[S1] 于是天地开辟。
[S2] 日月星辰、风云雨露俱备。
[S3] 黄帝令大地至纯之力循环运转，并加以水火效应。
[S4] 草木鸟兽随之而生，蛇虫鱼鳖各成部族。
[S5] 木之王子与金属之母结合光明与黑暗，由此创造了男女组成的人类种族。
[S6] 世界便如此逐渐成形。",,Easy,[5],yes,,[S5] 木之王子与金属之母结合光明与黑暗，由此创造了男女组成的人类种族。,"Q: 木之王子与金属之母如何创造人类种族？
A: 木之王子与金属之母结合光明与黑暗。","[S5] the wood prince and the mother of metals combined light and darkness , and thus created the human race as men and women .","Q: how did the wood prince and the mother of metals create the human race ?
A: the wood prince and the mother of metals combined light and darkness ."
EV154,high,Easy,"Full context:
[S0] one afternoon her mother , who happened to be at home for an hour , suddenly thought of her little daughter ; so she rang the bell and asked for nurse holloweg .
[S1] "" how is miss muffet , nurse ? ""
[S2] enquired the lady .
[S3] "" very badly , ma'am , "" was the reply .
[S4] "" badly ! ""
[S5] "" what do you mean ? ""
[S6] "" is she ill ? ""
[S7] "" she 's far from well , ma'am , "" answered the nurse , "" and seems to be getting worse every day . ""
[S8] "" well , "" replied the lady ; "" you must have the doctor to see her ; and do n't forget to let me know what he says . ""
[S9] "" that is all , nurse . ""
[S10] she turned to her novel again , and the nurse walked away and sent a servant for the doctor .
[S11] that great man , when he came , shook his head solemnly and said , "" she must have a change . ""
[S12] "" take her away into the country as soon as possible . ""
[S13] "" and very good advice it was , too , "" remarked the nurse to one of the maids ; "" for i feel as if i needed a change myself . ""
[S14] when she reported the matter to mrs . muffet the mother answered , "" very well ; i will see mr . ""
[S15] "" muffet and have him write out a cheque . ""

QA:
Q: what did the doctor advise the nurse to do about miss muffet ?
A: take her away into the country as soon as possible .",[12],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,little-miss-muffet,153,action,local,explicit,"[S0] one afternoon her mother , who happened to be at home for an hour , suddenly thought of her little daughter ; so she rang the bell and asked for nurse holloweg .
[S1] "" how is miss muffet , nurse ? ""
[S2] enquired the lady .
[S3] "" very badly , ma'am , "" was the reply .
[S4] "" badly ! ""
[S5] "" what do you mean ? ""
[S6] "" is she ill ? ""
[S7] "" she 's far from well , ma'am , "" answered the nurse , "" and seems to be getting worse every day . ""
[S8] "" well , "" replied the lady ; "" you must have the doctor to see her ; and do n't forget to let me know what he says . ""
[S9] "" that is all , nurse . ""
[S10] she turned to her novel again , and the nurse walked away and sent a servant for the doctor .
[S11] that great man , when he came , shook his head solemnly and said , "" she must have a change . ""
[S12] "" take her away into the country as soon as possible . ""
[S13] "" and very good advice it was , too , "" remarked the nurse to one of the maids ; "" for i feel as if i needed a change myself . ""
[S14] when she reported the matter to mrs . muffet the mother answered , "" very well ; i will see mr . ""
[S15] "" muffet and have him write out a cheque . ""","[S0] 某日下午，难得在家的母亲突然想起小女儿，便摇铃唤来霍洛威护士。
[S1] ""小玛菲特怎么样了？""
[S2] 夫人询问道。
[S3] ""很不好，太太，""护士回答。
[S4] ""不好！""
[S5] ""什么意思？""
[S6] ""她病了吗？""
[S7] ""她身体很差，太太，""护士答道，""而且似乎日益严重。""
[S8] ""好吧，""夫人说，""必须请医生来看看；别忘了告诉我诊断结果。""
[S9] ""就这样，护士。""
[S10] 她重新埋首小说，护士便差仆人去请医生。
[S11] 那位大人物到来后严肃地摇头说：""她需要换个环境。""
[S12] ""尽快带她去乡下。""
[S13] ""这建议再好不过，""护士对女仆评论道，""因为我觉得自己也该换换空气。""
[S14] 当向玛菲特夫人汇报时，母亲答复：""很好；我会让""
[S15] ""玛菲特先生开张支票。""",,Easy,[12],yes,,"[S12] ""尽快带她去乡下。""","Q: 医生建议护士如何处置小玛菲特？
A: 尽快带她去乡下。","[S12] "" take her away into the country as soon as possible . ""","Q: what did the doctor advise the nurse to do about miss muffet ?
A: take her away into the country as soon as possible ."
EV155,high,Easy,"Full context:
[S0] "" what have you in your basket ? "" asked the man .
[S1] "" would you like to know ? "" said the woman .
[S2] "" yes , "" said the man , "" for i have to buy the first thing that comes my way . ""
[S3] "" well , if you want to know , buy it ! "" said the old woman .
[S4] "" what does it cost ? "" asked the man .
[S5] she must have four shillings for it , declared the woman .
[S6] this did not seem such a tremendous price to him , he would let it go at that , said he , and raised the cover .
[S7] and there lay a pup in the basket .
[S8] when the man got home from his journey to town , there stood the youth full of impatience and curiosity , wondering what his wage for the first year might be .
[S9] "" are you back already , master ? "" asked the youth .
[S10] "" yes , indeed , "" said his master .
[S11] "" and what have you bought ? "" asked the youth .
[S12] "" what i have bought is nothing so very rare , "" said the man .
[S13] "" i do n't even know whether i ought to show it to you ; but i bought the first thing to be had , and that was a pup , "" said he .
[S14] "" and i thank you most kindly for it , "" said the youth .
[S15] "" i have always been fond of dogs . ""

QA:
Q: what lay in the basket ?
A: a pup .",[7],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,youth-who-was-to-serve-three-years-without-pay,154,action,local,explicit,"[S0] "" what have you in your basket ? "" asked the man .
[S1] "" would you like to know ? "" said the woman .
[S2] "" yes , "" said the man , "" for i have to buy the first thing that comes my way . ""
[S3] "" well , if you want to know , buy it ! "" said the old woman .
[S4] "" what does it cost ? "" asked the man .
[S5] she must have four shillings for it , declared the woman .
[S6] this did not seem such a tremendous price to him , he would let it go at that , said he , and raised the cover .
[S7] and there lay a pup in the basket .
[S8] when the man got home from his journey to town , there stood the youth full of impatience and curiosity , wondering what his wage for the first year might be .
[S9] "" are you back already , master ? "" asked the youth .
[S10] "" yes , indeed , "" said his master .
[S11] "" and what have you bought ? "" asked the youth .
[S12] "" what i have bought is nothing so very rare , "" said the man .
[S13] "" i do n't even know whether i ought to show it to you ; but i bought the first thing to be had , and that was a pup , "" said he .
[S14] "" and i thank you most kindly for it , "" said the youth .
[S15] "" i have always been fond of dogs . ""","[S0] ""你篮子里装的什么？""男人问。
[S1] ""你想知道？""妇人说。
[S2] ""是的，""男人答道，""因为我必须买下最先遇到的东西。""
[S3] ""好吧，若想知道就买下它！""老妇人说。
[S4] ""多少钱？""男人问。
[S5] 妇人声称要价四先令。
[S6] 他觉得不算太贵，便同意成交，随即掀开篮盖。
[S7] 篮子里躺着一只小狗崽。
[S8] 当男人从镇上归来时，少年已满怀不耐与好奇地等候着，想知道第一年的工钱是什么。
[S9] ""主人这么快就回来了？""少年问。
[S10] ""是啊，""主人说。
[S11] ""买了什么？""少年追问。
[S12] ""不算什么稀罕物，""男人说，
[S13] ""甚至不确定该不该给你看；但我买下了最先遇到的东西——一只小狗。""
[S14] ""太感谢您了，""少年说，
[S15] ""我一向喜欢狗。""",,Easy,[7],yes,,[S7] 篮子里躺着一只小狗崽。,"Q: 篮子里有什么？
A: 一只小狗崽。",[S7] and there lay a pup in the basket .,"Q: what lay in the basket ?
A: a pup ."
EV156,high,Easy,"Full context:
[S0] long , long ago , far , far away on the other side of the world , some young men left the camp where they lived to get some food for their wives and children .
[S1] the sun was hot , but they liked heat , and as they went they ran races and tried who could hurl his spear the farthest , or was cleverest in throwing a strange weapon called a boomerang , which always returns to the thrower .
[S2] they did not get on very fast at this rate , but presently they reached a flat place that in time of flood was full of water , but was now , in the height of summer , only a set of pools , each surrounded with a fringe of plants , with bulrushes standing in the inside of all .

QA:
Q: why did they like the heat ?
A: they ran races and tried who could hurl his spear the farthest or was cleverest in throwing a strange weapon called a boomerang .",[1],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-bunyip,155,causal relationship,local,explicit,"[S0] long , long ago , far , far away on the other side of the world , some young men left the camp where they lived to get some food for their wives and children .
[S1] the sun was hot , but they liked heat , and as they went they ran races and tried who could hurl his spear the farthest , or was cleverest in throwing a strange weapon called a boomerang , which always returns to the thrower .
[S2] they did not get on very fast at this rate , but presently they reached a flat place that in time of flood was full of water , but was now , in the height of summer , only a set of pools , each surrounded with a fringe of plants , with bulrushes standing in the inside of all .","[S0] 很久很久以前，在遥远的世界另一端，几个年轻人离开居住的营地，为妻儿寻找食物。
[S1] 烈日炎炎，但他们喜爱炎热，途中比赛奔跑，较量谁能将长矛投得最远，或是谁最擅长使用一种叫回旋镖的奇特武器——这种武器总能回到投掷者手中。
[S2] 这样行进自然缓慢，但最终他们来到一片平野，洪水季节这里会变成汪洋，但在盛夏时分，只剩几处被植物环绕的水洼，内里长满芦苇。",,Easy,[1],yes,,[S1] 烈日炎炎，但他们喜爱炎热，途中比赛奔跑，较量谁能将长矛投得最远，或是谁最擅长使用一种叫回旋镖的奇特武器——这种武器总能回到投掷者手中。,"Q: 他们为何喜欢炎热？
A: 他们比赛奔跑，较量谁能将长矛投得最远或最擅长使用回旋镖。","[S1] the sun was hot , but they liked heat , and as they went they ran races and tried who could hurl his spear the farthest , or was cleverest in throwing a strange weapon called a boomerang , which always returns to the thrower .","Q: why did they like the heat ?
A: they ran races and tried who could hurl his spear the farthest or was cleverest in throwing a strange weapon called a boomerang ."
EV157,high,Easy,"Full context:
[S0] when they were all assembled and seated in a circle , the old chief took his pipe and filled it , and passed it to the indians around , to see if any thing would happen when they smoked .
[S1] they passed it on until it came around to the dog , who made a sign that it should be handed first to the giant , which was done .
[S2] and the giant puffed with all his might , and shook the white feather upon his head , and swelled his chest ; but nothing came of it , except a great deal of smoke .
[S3] the dog then took it himself .
[S4] he made a sign to them to put the white feather upon his head .
[S5] this was no sooner done , than he recovered his speech , and , beginning to draw upon the pipe at the same moment , behold , immense flocks of white and blue pigeons rushed from the smoke .
[S6] from that moment the sixth giant was looked upon as an impostor , and as soon as white feather had , at the request of the company , faithfully recounted his history , the old chief , who was one of the best - hearted magicians that ever lived , ordered that the giant should be transformed into a dog , and turned into the middle of the village , where the boys should pelt him to death with clubs ; which being done , the whole six giants were at an end , and never troubled that neighborhood again , forever after .
[S7] the chief then gave out a command , at the request of white feather , that all the young men should employ themselves four days in making arrows .
[S8] white feather also asked for a buffalo robe .
[S9] this he cut into thin shreds , and in the night , when no one knew of it , he went and sowed them about the prairie in every direction .

QA:
Q: what did white feather request ?
A: a buffalo robe .",[8],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,white-feather-and-the-six-giants,156,action,local,explicit,"[S0] when they were all assembled and seated in a circle , the old chief took his pipe and filled it , and passed it to the indians around , to see if any thing would happen when they smoked .
[S1] they passed it on until it came around to the dog , who made a sign that it should be handed first to the giant , which was done .
[S2] and the giant puffed with all his might , and shook the white feather upon his head , and swelled his chest ; but nothing came of it , except a great deal of smoke .
[S3] the dog then took it himself .
[S4] he made a sign to them to put the white feather upon his head .
[S5] this was no sooner done , than he recovered his speech , and , beginning to draw upon the pipe at the same moment , behold , immense flocks of white and blue pigeons rushed from the smoke .
[S6] from that moment the sixth giant was looked upon as an impostor , and as soon as white feather had , at the request of the company , faithfully recounted his history , the old chief , who was one of the best - hearted magicians that ever lived , ordered that the giant should be transformed into a dog , and turned into the middle of the village , where the boys should pelt him to death with clubs ; which being done , the whole six giants were at an end , and never troubled that neighborhood again , forever after .
[S7] the chief then gave out a command , at the request of white feather , that all the young men should employ themselves four days in making arrows .
[S8] white feather also asked for a buffalo robe .
[S9] this he cut into thin shreds , and in the night , when no one knew of it , he went and sowed them about the prairie in every direction .","[S0] 当众人围坐成圈后，老酋长取出烟斗装满烟丝，在印第安人中传递，看吸烟时会发生什么。
[S1] 烟斗传到狗面前时，他示意应先递给巨人，众人照做。
[S2] 巨人拼命吸烟，抖动着头上白羽，挺起胸膛；但除了浓烟外毫无异状。
[S3] 狗便亲自接过烟斗。
[S4] 他示意将白羽戴在自己头上。
[S5] 刚戴上白羽，他便恢复言语能力，同时开始吸烟——看哪，无数蓝白相间的鸽群从烟雾中涌出。
[S6] 自此第六个巨人被视作骗子，白羽应众人要求如实讲述经历后，那位天性仁慈的老酋长——史上最善良的巫师之一——下令将巨人变成狗，扔到村中央让孩童用棍棒打死；此事过后，六个巨人彻底消失，再未侵扰此地。
[S7] 应白羽请求，酋长随后命令所有年轻人花四天时间制作箭矢。
[S8] 白羽还索要了一条野牛皮毯。
[S9] 他将皮毯切成细条，趁夜深人静时撒向草原各处。",,Easy,[8],yes,,[S8] 白羽还索要了一条野牛皮毯。,"Q: 白羽请求了什么？
A: 一条野牛皮毯。",[S8] white feather also asked for a buffalo robe .,"Q: what did white feather request ?
A: a buffalo robe ."
EV158,high,Easy,"Full context:
[S0] once upon a time there were four little rabbits , and their names were-- flopsy , mopsy , cotton - tail , and peter .
[S1] they lived with their mother in a sand - bank , underneath the root of a very big fir tree .
[S2] "" now , my dears , "" said old mrs . rabbit one morning , "" you may go into the fields or down the lane , but do n't go into mr . ""
[S3] "" mcgregor 's garden : your father had an accident there ; he was put in a pie by mrs . ""
[S4] "" mcgregor . ""
[S5] "" now run along , and do n't get into mischief . ""
[S6] "" i am going out . ""

QA:
Q: where did the four little rabbits live ?
A: underneath the root of a very big fir tree .",[1],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-tale-of-peter-rabbit,157,setting,local,explicit,"[S0] once upon a time there were four little rabbits , and their names were-- flopsy , mopsy , cotton - tail , and peter .
[S1] they lived with their mother in a sand - bank , underneath the root of a very big fir tree .
[S2] "" now , my dears , "" said old mrs . rabbit one morning , "" you may go into the fields or down the lane , but do n't go into mr . ""
[S3] "" mcgregor 's garden : your father had an accident there ; he was put in a pie by mrs . ""
[S4] "" mcgregor . ""
[S5] "" now run along , and do n't get into mischief . ""
[S6] "" i am going out . ""","[S0] 从前有四只小兔子，名字分别是弗洛普西、莫普西、棉球尾和彼得。
[S1] 他们和母亲住在沙洲上，一棵大冷杉树的树根底下。
[S2] ""现在，亲爱的，""兔妈妈某天早晨说，""你们可以去田野或小巷，但别去""
[S3] ""麦格雷戈先生的菜园：你们父亲在那里出了意外；被麦格雷戈太太""
[S4] ""做成馅饼了。""
[S5] ""现在去玩吧，别惹麻烦。""
[S6] ""我要出门了。""",,Easy,[1],yes,,[S1] 他们和母亲住在沙洲上，一棵大冷杉树的树根底下。,"Q: 四只小兔子住在哪里？
A: 一棵大冷杉树的树根底下。","[S1] they lived with their mother in a sand - bank , underneath the root of a very big fir tree .","Q: where did the four little rabbits live ?
A: underneath the root of a very big fir tree ."
EV159,high,Easy,"Full context:
[S0] with that the king whistled , and down came the poor goose , all as one as a hound , waddlin ' up to the poor old cripple , her master , and as like him as two pays .
[S1] the minute the saint set his eyes on the goose , ' i 'll do the job for you , ' says he , ' king o'toole ! '
[S2] ' by jaminee , ' says king o'toole , ' if you do , but i 'll say you 're the cleverest fellow in the seven parishes . '
[S3] ' oh , by dad , ' says saint kavin , ' you must say more nor that -- my horn 's not so soft all out , ' says he , ' as to repair your old goose for nothin' . '
[S4] what 'll you give me if i do the job for you?--that 's the chat , ' says saint kavin . '
[S5] i 'll give you whatever you ask , ' says the king . ' is n't that fair ?
[S6] ' ' devil a fairer , ' says the saint . '
[S7] that 's the way to do business .
[S8] now , ' says he , ' this is the bargain i 'll make with you , king o'toole : will you give me all the ground the goose flies over , the first offer , after i make her as good as new ?
[S9] ' ' i will , ' says the king . '
[S10] you wo n't go back o ' your word ?
[S11] ' says saint kavin . '
[S12] honor bright !
[S13] ' says king o'toole , holdin ' out his fist . '
[S14] honor bright , ' says saint kavin back again , ' it 's a bargain , ' says he . '
[S15] come here !
[S16] ' says he to the poor old goose--'come here , you unfortunate old cripple , ' says he , ' and it 's i that 'll make you the sportin ' bird . '

QA:
Q: what happened after the king whistled ?
A: down came the poor goose .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,king-o-toole-and-st-kevin,158,outcome resolution,local,explicit,"[S0] with that the king whistled , and down came the poor goose , all as one as a hound , waddlin ' up to the poor old cripple , her master , and as like him as two pays .
[S1] the minute the saint set his eyes on the goose , ' i 'll do the job for you , ' says he , ' king o'toole ! '
[S2] ' by jaminee , ' says king o'toole , ' if you do , but i 'll say you 're the cleverest fellow in the seven parishes . '
[S3] ' oh , by dad , ' says saint kavin , ' you must say more nor that -- my horn 's not so soft all out , ' says he , ' as to repair your old goose for nothin' . '
[S4] what 'll you give me if i do the job for you?--that 's the chat , ' says saint kavin . '
[S5] i 'll give you whatever you ask , ' says the king . ' is n't that fair ?
[S6] ' ' devil a fairer , ' says the saint . '
[S7] that 's the way to do business .
[S8] now , ' says he , ' this is the bargain i 'll make with you , king o'toole : will you give me all the ground the goose flies over , the first offer , after i make her as good as new ?
[S9] ' ' i will , ' says the king . '
[S10] you wo n't go back o ' your word ?
[S11] ' says saint kavin . '
[S12] honor bright !
[S13] ' says king o'toole , holdin ' out his fist . '
[S14] honor bright , ' says saint kavin back again , ' it 's a bargain , ' says he . '
[S15] come here !
[S16] ' says he to the poor old goose--'come here , you unfortunate old cripple , ' says he , ' and it 's i that 'll make you the sportin ' bird . '","[S0] 国王随即吹响口哨，那只可怜的鹅便像猎犬般蹒跚着来到残废的老主人身边，活像他的翻版。
[S1] 圣徒见到鹅的瞬间说：""我会帮你解决难题，图尔国王！""
[S2] ""老天在上，""图尔国王说，""若你真能办到，我就承认你是七教区最聪明的人。""
[S3] ""哦，得了吧，""圣凯文说，""光这样可不够——我的本事""
[S4] ""可不至于免费替你修好老鹅。你想要我帮忙——代价是什么？""
[S5] ""你要什么我都给，""国王说，""这很公平吧？""
[S6] ""再公平不过，""圣徒说，""这才像谈生意。""
[S7] ""现在，""他继续道，""图尔国王，我的条件是：若我把鹅修好，它第一次试飞所越过的土地都归我——你答应吗？""
[S8] ""我答应，""国王说。
[S9] ""不会反悔？""圣凯文问。
[S10] ""以名誉担保！""图尔国王伸出拳头。
[S11] ""以名誉担保，""圣凯文也伸出拳头，""成交。""
[S12] ""过来！""他对可怜的老鹅喊道——""过来，你这不幸的老残废，""他说，""我要让你重获新生。""",,Easy,[0],yes,,[S0] 国王随即吹响口哨，那只可怜的鹅便像猎犬般蹒跚着来到残废的老主人身边，活像他的翻版。,"Q: 国王吹口哨后发生了什么？
A: 那只可怜的鹅跑了过来。","[S0] with that the king whistled , and down came the poor goose , all as one as a hound , waddlin ' up to the poor old cripple , her master , and as like him as two pays .","Q: what happened after the king whistled ?
A: down came the poor goose ."
EV160,high,Easy,"Full context:
[S0] he sat up slowly and rubbed his eyes , and crossly demanded what his wife was making all that noise about .
[S1] by the time that the man was alive to what had happened , and they both got outside the gate , the boar had got well away , but they saw the monkey running after the thief as hard as his legs would carry him .
[S2] both the man and wife were moved to admiration at the plucky conduct of the sagacious monkey , and their gratitude knew no bounds when the faithful monkey brought the child safely back to their arms .

QA:
Q: how did they feel towards the monkey when he brought back their baby ?
A: gratitude .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,sagacious-monkey-and-boar,159,feeling,local,explicit,"[S0] he sat up slowly and rubbed his eyes , and crossly demanded what his wife was making all that noise about .
[S1] by the time that the man was alive to what had happened , and they both got outside the gate , the boar had got well away , but they saw the monkey running after the thief as hard as his legs would carry him .
[S2] both the man and wife were moved to admiration at the plucky conduct of the sagacious monkey , and their gratitude knew no bounds when the faithful monkey brought the child safely back to their arms .","[S0] 他慢吞吞坐起来揉着眼睛，恼怒地质问妻子为何喧哗。
[S1] 等男人明白发生了什么，两人赶到门外时，野猪早已逃远，但他们看见猴子正拼命追赶窃贼。
[S2] 夫妇二人对这只机灵猴子的勇敢行为深感钦佩，当忠实的猴子将孩子安全送回他们怀中时，他们的感激之情无以复加。",,Easy,[2],yes,,[S2] 夫妇二人对这只机灵猴子的勇敢行为深感钦佩，当忠实的猴子将孩子安全送回他们怀中时，他们的感激之情无以复加。,"Q: 猴子送回婴儿时他们作何感受？
A: 感激。","[S2] both the man and wife were moved to admiration at the plucky conduct of the sagacious monkey , and their gratitude knew no bounds when the faithful monkey brought the child safely back to their arms .","Q: how did they feel towards the monkey when he brought back their baby ?
A: gratitude ."
