sample_id,annotation_priority,suggested_difficulty_label,full_context_qa,required_evidence_ids,human_valid,human_difficulty_label,human_answer_directly_found,human_evidence_ids,human_notes,num_required_sentences,suggested_answer_directly_found,blind_sufficient,blind_reason,story_name,source_index,attribute,fairytale_scope,fairytale_explicitness,full_context_numbered,removal_summary,selector_difficulty,selector_evidence_ids,selector_answer_directly_found,selector_reason,evidence_context,qa
EV151,high,Easy,"Full context:
[S0] so timmy willie said good - bye to his new friends , and hid in the hamper with a crumb of cake and a withered cabbage leaf ; and after much jolting , he was set down safely in his own garden .

QA:
Q: what happened to timmy after he got in the hamper ?
A: he was set down safely in his own garden .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,tale-of-johnny-town-mouse,150,outcome resolution,local,explicit,"[S0] so timmy willie said good - bye to his new friends , and hid in the hamper with a crumb of cake and a withered cabbage leaf ; and after much jolting , he was set down safely in his own garden .",,Easy,[0],yes,,"[S0] so timmy willie said good - bye to his new friends , and hid in the hamper with a crumb of cake and a withered cabbage leaf ; and after much jolting , he was set down safely in his own garden .","Q: what happened to timmy after he got in the hamper ?
A: he was set down safely in his own garden ."
EV152,high,Easy,"Full context:
[S0] after a time the priest came by , and he was so old and decrepit that his wife and daughter led him .
[S1] and when they came to the spot where the schoolmaster was standing , they stopped and invited him to come to church and hear mass .
[S2] the schoolmaster thought for a moment ; but since it occurred to him that it might be amusing to see how these people worshiped god , he said he would go along , if he did not thereby suffer harm .
[S3] no , no harm should come to him , said they , but rather a blessing .
[S4] in the church all went forward in a quiet and orderly manner , there were neither dogs nor crying children to disturb the service , and the singing was good -- but he could not make out the words .
[S5] when the priest had been led to the pulpit he delivered what seemed to the listening schoolmaster a really fine and edifying sermon -- but one , it appeared to him , of quite a peculiar trend of thought , which he was not always able to follow .
[S6] nor did the "" our father in heaven ... ""
[S7] sound just right , and the "" deliver us from evil ... ""
[S8] he did not hear at all .
[S9] nor was the name of jesus uttered ; and at the close no blessing was spoken .

QA:
Q: what did the priest, wife, and daughter do when they saw the schoolmaster ?
A: stopped and invited him to come to church and hear mass .",[1],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,secret-church,151,action,local,explicit,"[S0] after a time the priest came by , and he was so old and decrepit that his wife and daughter led him .
[S1] and when they came to the spot where the schoolmaster was standing , they stopped and invited him to come to church and hear mass .
[S2] the schoolmaster thought for a moment ; but since it occurred to him that it might be amusing to see how these people worshiped god , he said he would go along , if he did not thereby suffer harm .
[S3] no , no harm should come to him , said they , but rather a blessing .
[S4] in the church all went forward in a quiet and orderly manner , there were neither dogs nor crying children to disturb the service , and the singing was good -- but he could not make out the words .
[S5] when the priest had been led to the pulpit he delivered what seemed to the listening schoolmaster a really fine and edifying sermon -- but one , it appeared to him , of quite a peculiar trend of thought , which he was not always able to follow .
[S6] nor did the "" our father in heaven ... ""
[S7] sound just right , and the "" deliver us from evil ... ""
[S8] he did not hear at all .
[S9] nor was the name of jesus uttered ; and at the close no blessing was spoken .",,Easy,[1],yes,,"[S1] and when they came to the spot where the schoolmaster was standing , they stopped and invited him to come to church and hear mass .","Q: what did the priest, wife, and daughter do when they saw the schoolmaster ?
A: stopped and invited him to come to church and hear mass ."
EV153,high,Easy,"Full context:
[S0] then they allowed the waters to gather into rivers and seas , and hills and plains made their appearance .
[S1] so the heavens opened and the earth was divided .
[S2] and there were sun , moon and all the stars , wind , clouds , rain , and dew .
[S3] the yellow ancient set earth 's purest power spinning in a circle , and added the effect of fire and water thereto .
[S4] then there came forth grasses and trees , birds and beasts , and the tribes of the serpents and insects , fishes and turtles .
[S5] the wood prince and the mother of metals combined light and darkness , and thus created the human race as men and women .
[S6] and thus the world gradually came to be .

QA:
Q: how did the wood prince and the mother of metals create the human race ?
A: the wood prince and the mother of metals combined light and darkness .",[5],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,how-the-five-ancients-became-men,152,action,local,explicit,"[S0] then they allowed the waters to gather into rivers and seas , and hills and plains made their appearance .
[S1] so the heavens opened and the earth was divided .
[S2] and there were sun , moon and all the stars , wind , clouds , rain , and dew .
[S3] the yellow ancient set earth 's purest power spinning in a circle , and added the effect of fire and water thereto .
[S4] then there came forth grasses and trees , birds and beasts , and the tribes of the serpents and insects , fishes and turtles .
[S5] the wood prince and the mother of metals combined light and darkness , and thus created the human race as men and women .
[S6] and thus the world gradually came to be .",,Easy,[5],yes,,"[S5] the wood prince and the mother of metals combined light and darkness , and thus created the human race as men and women .","Q: how did the wood prince and the mother of metals create the human race ?
A: the wood prince and the mother of metals combined light and darkness ."
EV154,high,Easy,"Full context:
[S0] one afternoon her mother , who happened to be at home for an hour , suddenly thought of her little daughter ; so she rang the bell and asked for nurse holloweg .
[S1] "" how is miss muffet , nurse ? ""
[S2] enquired the lady .
[S3] "" very badly , ma'am , "" was the reply .
[S4] "" badly ! ""
[S5] "" what do you mean ? ""
[S6] "" is she ill ? ""
[S7] "" she 's far from well , ma'am , "" answered the nurse , "" and seems to be getting worse every day . ""
[S8] "" well , "" replied the lady ; "" you must have the doctor to see her ; and do n't forget to let me know what he says . ""
[S9] "" that is all , nurse . ""
[S10] she turned to her novel again , and the nurse walked away and sent a servant for the doctor .
[S11] that great man , when he came , shook his head solemnly and said , "" she must have a change . ""
[S12] "" take her away into the country as soon as possible . ""
[S13] "" and very good advice it was , too , "" remarked the nurse to one of the maids ; "" for i feel as if i needed a change myself . ""
[S14] when she reported the matter to mrs . muffet the mother answered , "" very well ; i will see mr . ""
[S15] "" muffet and have him write out a cheque . ""

QA:
Q: what did the doctor advise the nurse to do about miss muffet ?
A: take her away into the country as soon as possible .",[12],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,little-miss-muffet,153,action,local,explicit,"[S0] one afternoon her mother , who happened to be at home for an hour , suddenly thought of her little daughter ; so she rang the bell and asked for nurse holloweg .
[S1] "" how is miss muffet , nurse ? ""
[S2] enquired the lady .
[S3] "" very badly , ma'am , "" was the reply .
[S4] "" badly ! ""
[S5] "" what do you mean ? ""
[S6] "" is she ill ? ""
[S7] "" she 's far from well , ma'am , "" answered the nurse , "" and seems to be getting worse every day . ""
[S8] "" well , "" replied the lady ; "" you must have the doctor to see her ; and do n't forget to let me know what he says . ""
[S9] "" that is all , nurse . ""
[S10] she turned to her novel again , and the nurse walked away and sent a servant for the doctor .
[S11] that great man , when he came , shook his head solemnly and said , "" she must have a change . ""
[S12] "" take her away into the country as soon as possible . ""
[S13] "" and very good advice it was , too , "" remarked the nurse to one of the maids ; "" for i feel as if i needed a change myself . ""
[S14] when she reported the matter to mrs . muffet the mother answered , "" very well ; i will see mr . ""
[S15] "" muffet and have him write out a cheque . """,,Easy,[12],yes,,"[S12] "" take her away into the country as soon as possible . ""","Q: what did the doctor advise the nurse to do about miss muffet ?
A: take her away into the country as soon as possible ."
EV155,high,Easy,"Full context:
[S0] "" what have you in your basket ? "" asked the man .
[S1] "" would you like to know ? "" said the woman .
[S2] "" yes , "" said the man , "" for i have to buy the first thing that comes my way . ""
[S3] "" well , if you want to know , buy it ! "" said the old woman .
[S4] "" what does it cost ? "" asked the man .
[S5] she must have four shillings for it , declared the woman .
[S6] this did not seem such a tremendous price to him , he would let it go at that , said he , and raised the cover .
[S7] and there lay a pup in the basket .
[S8] when the man got home from his journey to town , there stood the youth full of impatience and curiosity , wondering what his wage for the first year might be .
[S9] "" are you back already , master ? "" asked the youth .
[S10] "" yes , indeed , "" said his master .
[S11] "" and what have you bought ? "" asked the youth .
[S12] "" what i have bought is nothing so very rare , "" said the man .
[S13] "" i do n't even know whether i ought to show it to you ; but i bought the first thing to be had , and that was a pup , "" said he .
[S14] "" and i thank you most kindly for it , "" said the youth .
[S15] "" i have always been fond of dogs . ""

QA:
Q: what lay in the basket ?
A: a pup .",[7],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,youth-who-was-to-serve-three-years-without-pay,154,action,local,explicit,"[S0] "" what have you in your basket ? "" asked the man .
[S1] "" would you like to know ? "" said the woman .
[S2] "" yes , "" said the man , "" for i have to buy the first thing that comes my way . ""
[S3] "" well , if you want to know , buy it ! "" said the old woman .
[S4] "" what does it cost ? "" asked the man .
[S5] she must have four shillings for it , declared the woman .
[S6] this did not seem such a tremendous price to him , he would let it go at that , said he , and raised the cover .
[S7] and there lay a pup in the basket .
[S8] when the man got home from his journey to town , there stood the youth full of impatience and curiosity , wondering what his wage for the first year might be .
[S9] "" are you back already , master ? "" asked the youth .
[S10] "" yes , indeed , "" said his master .
[S11] "" and what have you bought ? "" asked the youth .
[S12] "" what i have bought is nothing so very rare , "" said the man .
[S13] "" i do n't even know whether i ought to show it to you ; but i bought the first thing to be had , and that was a pup , "" said he .
[S14] "" and i thank you most kindly for it , "" said the youth .
[S15] "" i have always been fond of dogs . """,,Easy,[7],yes,,[S7] and there lay a pup in the basket .,"Q: what lay in the basket ?
A: a pup ."
EV156,high,Easy,"Full context:
[S0] long , long ago , far , far away on the other side of the world , some young men left the camp where they lived to get some food for their wives and children .
[S1] the sun was hot , but they liked heat , and as they went they ran races and tried who could hurl his spear the farthest , or was cleverest in throwing a strange weapon called a boomerang , which always returns to the thrower .
[S2] they did not get on very fast at this rate , but presently they reached a flat place that in time of flood was full of water , but was now , in the height of summer , only a set of pools , each surrounded with a fringe of plants , with bulrushes standing in the inside of all .

QA:
Q: why did they like the heat ?
A: they ran races and tried who could hurl his spear the farthest or was cleverest in throwing a strange weapon called a boomerang .",[1],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-bunyip,155,causal relationship,local,explicit,"[S0] long , long ago , far , far away on the other side of the world , some young men left the camp where they lived to get some food for their wives and children .
[S1] the sun was hot , but they liked heat , and as they went they ran races and tried who could hurl his spear the farthest , or was cleverest in throwing a strange weapon called a boomerang , which always returns to the thrower .
[S2] they did not get on very fast at this rate , but presently they reached a flat place that in time of flood was full of water , but was now , in the height of summer , only a set of pools , each surrounded with a fringe of plants , with bulrushes standing in the inside of all .",,Easy,[1],yes,,"[S1] the sun was hot , but they liked heat , and as they went they ran races and tried who could hurl his spear the farthest , or was cleverest in throwing a strange weapon called a boomerang , which always returns to the thrower .","Q: why did they like the heat ?
A: they ran races and tried who could hurl his spear the farthest or was cleverest in throwing a strange weapon called a boomerang ."
EV157,high,Easy,"Full context:
[S0] when they were all assembled and seated in a circle , the old chief took his pipe and filled it , and passed it to the indians around , to see if any thing would happen when they smoked .
[S1] they passed it on until it came around to the dog , who made a sign that it should be handed first to the giant , which was done .
[S2] and the giant puffed with all his might , and shook the white feather upon his head , and swelled his chest ; but nothing came of it , except a great deal of smoke .
[S3] the dog then took it himself .
[S4] he made a sign to them to put the white feather upon his head .
[S5] this was no sooner done , than he recovered his speech , and , beginning to draw upon the pipe at the same moment , behold , immense flocks of white and blue pigeons rushed from the smoke .
[S6] from that moment the sixth giant was looked upon as an impostor , and as soon as white feather had , at the request of the company , faithfully recounted his history , the old chief , who was one of the best - hearted magicians that ever lived , ordered that the giant should be transformed into a dog , and turned into the middle of the village , where the boys should pelt him to death with clubs ; which being done , the whole six giants were at an end , and never troubled that neighborhood again , forever after .
[S7] the chief then gave out a command , at the request of white feather , that all the young men should employ themselves four days in making arrows .
[S8] white feather also asked for a buffalo robe .
[S9] this he cut into thin shreds , and in the night , when no one knew of it , he went and sowed them about the prairie in every direction .

QA:
Q: what did white feather request ?
A: a buffalo robe .",[8],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,white-feather-and-the-six-giants,156,action,local,explicit,"[S0] when they were all assembled and seated in a circle , the old chief took his pipe and filled it , and passed it to the indians around , to see if any thing would happen when they smoked .
[S1] they passed it on until it came around to the dog , who made a sign that it should be handed first to the giant , which was done .
[S2] and the giant puffed with all his might , and shook the white feather upon his head , and swelled his chest ; but nothing came of it , except a great deal of smoke .
[S3] the dog then took it himself .
[S4] he made a sign to them to put the white feather upon his head .
[S5] this was no sooner done , than he recovered his speech , and , beginning to draw upon the pipe at the same moment , behold , immense flocks of white and blue pigeons rushed from the smoke .
[S6] from that moment the sixth giant was looked upon as an impostor , and as soon as white feather had , at the request of the company , faithfully recounted his history , the old chief , who was one of the best - hearted magicians that ever lived , ordered that the giant should be transformed into a dog , and turned into the middle of the village , where the boys should pelt him to death with clubs ; which being done , the whole six giants were at an end , and never troubled that neighborhood again , forever after .
[S7] the chief then gave out a command , at the request of white feather , that all the young men should employ themselves four days in making arrows .
[S8] white feather also asked for a buffalo robe .
[S9] this he cut into thin shreds , and in the night , when no one knew of it , he went and sowed them about the prairie in every direction .",,Easy,[8],yes,,[S8] white feather also asked for a buffalo robe .,"Q: what did white feather request ?
A: a buffalo robe ."
EV158,high,Easy,"Full context:
[S0] once upon a time there were four little rabbits , and their names were-- flopsy , mopsy , cotton - tail , and peter .
[S1] they lived with their mother in a sand - bank , underneath the root of a very big fir tree .
[S2] "" now , my dears , "" said old mrs . rabbit one morning , "" you may go into the fields or down the lane , but do n't go into mr . ""
[S3] "" mcgregor 's garden : your father had an accident there ; he was put in a pie by mrs . ""
[S4] "" mcgregor . ""
[S5] "" now run along , and do n't get into mischief . ""
[S6] "" i am going out . ""

QA:
Q: where did the four little rabbits live ?
A: underneath the root of a very big fir tree .",[1],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-tale-of-peter-rabbit,157,setting,local,explicit,"[S0] once upon a time there were four little rabbits , and their names were-- flopsy , mopsy , cotton - tail , and peter .
[S1] they lived with their mother in a sand - bank , underneath the root of a very big fir tree .
[S2] "" now , my dears , "" said old mrs . rabbit one morning , "" you may go into the fields or down the lane , but do n't go into mr . ""
[S3] "" mcgregor 's garden : your father had an accident there ; he was put in a pie by mrs . ""
[S4] "" mcgregor . ""
[S5] "" now run along , and do n't get into mischief . ""
[S6] "" i am going out . """,,Easy,[1],yes,,"[S1] they lived with their mother in a sand - bank , underneath the root of a very big fir tree .","Q: where did the four little rabbits live ?
A: underneath the root of a very big fir tree ."
EV159,high,Easy,"Full context:
[S0] with that the king whistled , and down came the poor goose , all as one as a hound , waddlin ' up to the poor old cripple , her master , and as like him as two pays .
[S1] the minute the saint set his eyes on the goose , ' i 'll do the job for you , ' says he , ' king o'toole ! '
[S2] ' by jaminee , ' says king o'toole , ' if you do , but i 'll say you 're the cleverest fellow in the seven parishes . '
[S3] ' oh , by dad , ' says saint kavin , ' you must say more nor that -- my horn 's not so soft all out , ' says he , ' as to repair your old goose for nothin' . '
[S4] what 'll you give me if i do the job for you?--that 's the chat , ' says saint kavin . '
[S5] i 'll give you whatever you ask , ' says the king . ' is n't that fair ?
[S6] ' ' devil a fairer , ' says the saint . '
[S7] that 's the way to do business .
[S8] now , ' says he , ' this is the bargain i 'll make with you , king o'toole : will you give me all the ground the goose flies over , the first offer , after i make her as good as new ?
[S9] ' ' i will , ' says the king . '
[S10] you wo n't go back o ' your word ?
[S11] ' says saint kavin . '
[S12] honor bright !
[S13] ' says king o'toole , holdin ' out his fist . '
[S14] honor bright , ' says saint kavin back again , ' it 's a bargain , ' says he . '
[S15] come here !
[S16] ' says he to the poor old goose--'come here , you unfortunate old cripple , ' says he , ' and it 's i that 'll make you the sportin ' bird . '

QA:
Q: what happened after the king whistled ?
A: down came the poor goose .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,king-o-toole-and-st-kevin,158,outcome resolution,local,explicit,"[S0] with that the king whistled , and down came the poor goose , all as one as a hound , waddlin ' up to the poor old cripple , her master , and as like him as two pays .
[S1] the minute the saint set his eyes on the goose , ' i 'll do the job for you , ' says he , ' king o'toole ! '
[S2] ' by jaminee , ' says king o'toole , ' if you do , but i 'll say you 're the cleverest fellow in the seven parishes . '
[S3] ' oh , by dad , ' says saint kavin , ' you must say more nor that -- my horn 's not so soft all out , ' says he , ' as to repair your old goose for nothin' . '
[S4] what 'll you give me if i do the job for you?--that 's the chat , ' says saint kavin . '
[S5] i 'll give you whatever you ask , ' says the king . ' is n't that fair ?
[S6] ' ' devil a fairer , ' says the saint . '
[S7] that 's the way to do business .
[S8] now , ' says he , ' this is the bargain i 'll make with you , king o'toole : will you give me all the ground the goose flies over , the first offer , after i make her as good as new ?
[S9] ' ' i will , ' says the king . '
[S10] you wo n't go back o ' your word ?
[S11] ' says saint kavin . '
[S12] honor bright !
[S13] ' says king o'toole , holdin ' out his fist . '
[S14] honor bright , ' says saint kavin back again , ' it 's a bargain , ' says he . '
[S15] come here !
[S16] ' says he to the poor old goose--'come here , you unfortunate old cripple , ' says he , ' and it 's i that 'll make you the sportin ' bird . '",,Easy,[0],yes,,"[S0] with that the king whistled , and down came the poor goose , all as one as a hound , waddlin ' up to the poor old cripple , her master , and as like him as two pays .","Q: what happened after the king whistled ?
A: down came the poor goose ."
EV160,high,Easy,"Full context:
[S0] he sat up slowly and rubbed his eyes , and crossly demanded what his wife was making all that noise about .
[S1] by the time that the man was alive to what had happened , and they both got outside the gate , the boar had got well away , but they saw the monkey running after the thief as hard as his legs would carry him .
[S2] both the man and wife were moved to admiration at the plucky conduct of the sagacious monkey , and their gratitude knew no bounds when the faithful monkey brought the child safely back to their arms .

QA:
Q: how did they feel towards the monkey when he brought back their baby ?
A: gratitude .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,sagacious-monkey-and-boar,159,feeling,local,explicit,"[S0] he sat up slowly and rubbed his eyes , and crossly demanded what his wife was making all that noise about .
[S1] by the time that the man was alive to what had happened , and they both got outside the gate , the boar had got well away , but they saw the monkey running after the thief as hard as his legs would carry him .
[S2] both the man and wife were moved to admiration at the plucky conduct of the sagacious monkey , and their gratitude knew no bounds when the faithful monkey brought the child safely back to their arms .",,Easy,[2],yes,,"[S2] both the man and wife were moved to admiration at the plucky conduct of the sagacious monkey , and their gratitude knew no bounds when the faithful monkey brought the child safely back to their arms .","Q: how did they feel towards the monkey when he brought back their baby ?
A: gratitude ."
