sample_id,annotation_priority,suggested_difficulty_label,full_context_qa,required_evidence_ids,human_valid,human_difficulty_label,human_answer_directly_found,human_evidence_ids,human_notes,num_required_sentences,suggested_answer_directly_found,blind_sufficient,blind_reason,story_name,source_index,attribute,fairytale_scope,fairytale_explicitness,full_context_numbered,removal_summary,selector_difficulty,selector_evidence_ids,selector_answer_directly_found,selector_reason,evidence_context,qa
EV301,high,Easy,"Full context:
[S0] "" i am getting along finely , "" the black sheep would answer , "" for not one sheep in the pasture has so much wool as i have grown already . ""
[S1] "" can i do anything to help you ? "" asked the little boy .
[S2] "" not that i think of , "" replied the sheep , "" unless you could get me a little salt . ""
[S3] "" i believe salt helps the wool to grow . ""
[S4] so the boy ran to the house and begged his mother for a handful of salt , and then he came back to the bars , where the black sheep licked it out of his hand .
[S5] day by day the wool on the sheep grew longer and longer , and even the old ram noticed it and said , "" you are foolish to grow so much wool , for the farmer will cut it all off , and it will do you no good . ""
[S6] "" now i am growing just as little as possible , for since he steals what i have i am determined he shall get very little wool from my back . ""

QA:
Q: what did the black sheep ask the little boy to bring ?
A: salt .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,black-sheep,300,action,local,explicit,"[S0] "" i am getting along finely , "" the black sheep would answer , "" for not one sheep in the pasture has so much wool as i have grown already . ""
[S1] "" can i do anything to help you ? "" asked the little boy .
[S2] "" not that i think of , "" replied the sheep , "" unless you could get me a little salt . ""
[S3] "" i believe salt helps the wool to grow . ""
[S4] so the boy ran to the house and begged his mother for a handful of salt , and then he came back to the bars , where the black sheep licked it out of his hand .
[S5] day by day the wool on the sheep grew longer and longer , and even the old ram noticed it and said , "" you are foolish to grow so much wool , for the farmer will cut it all off , and it will do you no good . ""
[S6] "" now i am growing just as little as possible , for since he steals what i have i am determined he shall get very little wool from my back . """,,Easy,[2],yes,,"[S2] "" not that i think of , "" replied the sheep , "" unless you could get me a little salt . ""","Q: what did the black sheep ask the little boy to bring ?
A: salt ."
EV302,high,Easy,"Full context:
[S0] timmy willie , who had lived all his life in a garden , was almost frightened to death .
[S1] presently the cook opened the hamper and began to unpack the vegetables .
[S2] out sprang the terrified timmy willie .
[S3] up jumped the cook on a chair , exclaiming "" a mouse ! ""
[S4] "" a mouse ! ""
[S5] "" call the cat ! ""
[S6] "" fetch me the poker , sarah ! ""
[S7] timmy willie did not wait for sarah with the poker ; he rushed along the skirting board till he came to a little hole , and in he popped .

QA:
Q: why did the cook jump on a chair and shout ?
A: out sprang the terrified timmy willie .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,tale-of-johnny-town-mouse,301,causal relationship,summary,explicit,"[S0] timmy willie , who had lived all his life in a garden , was almost frightened to death .
[S1] presently the cook opened the hamper and began to unpack the vegetables .
[S2] out sprang the terrified timmy willie .
[S3] up jumped the cook on a chair , exclaiming "" a mouse ! ""
[S4] "" a mouse ! ""
[S5] "" call the cat ! ""
[S6] "" fetch me the poker , sarah ! ""
[S7] timmy willie did not wait for sarah with the poker ; he rushed along the skirting board till he came to a little hole , and in he popped .",,Easy,[2],yes,,[S2] out sprang the terrified timmy willie .,"Q: why did the cook jump on a chair and shout ?
A: out sprang the terrified timmy willie ."
EV303,high,Easy,"Full context:
[S0] when he was finished he looked round for his strange visitor , but she had vanished completely .
[S1] he could not tell how , nor where .
[S2] putting up his spade , he wended his way homewards , and going straight to his master , he told him the whole story .
[S3] he suggested that in future the peats should be taken from the other end of the moor .
[S4] but the master only laughed .
[S5] he was a strong , hearty man , and had no belief in ghosts , or elves , or fairies , or any other creature that he could not see .
[S6] although he laughed , he was vexed that his servant should believe in such things , so to cure him , as he thought , of his superstition , he ordered him to take a horse and cart and go back at once , and lift all the peats and bring them to dry in the farm steading .
[S7] the poor man obeyed with much reluctance .
[S8] he was greatly relieved , as weeks went on , to find that , in spite of his having done so , no harm befell him .

QA:
Q: what did the poor man do after he could not find his strange visitor ?
A: put up his spade , he wended his way homewards , and going straight to his master , he told him the whole story , and suggested that in future the peats should be taken from the other end of the moor .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-fairies-of-merlin-crag,302,action,local,explicit,"[S0] when he was finished he looked round for his strange visitor , but she had vanished completely .
[S1] he could not tell how , nor where .
[S2] putting up his spade , he wended his way homewards , and going straight to his master , he told him the whole story .
[S3] he suggested that in future the peats should be taken from the other end of the moor .
[S4] but the master only laughed .
[S5] he was a strong , hearty man , and had no belief in ghosts , or elves , or fairies , or any other creature that he could not see .
[S6] although he laughed , he was vexed that his servant should believe in such things , so to cure him , as he thought , of his superstition , he ordered him to take a horse and cart and go back at once , and lift all the peats and bring them to dry in the farm steading .
[S7] the poor man obeyed with much reluctance .
[S8] he was greatly relieved , as weeks went on , to find that , in spite of his having done so , no harm befell him .",,Easy,[2],yes,,"[S2] putting up his spade , he wended his way homewards , and going straight to his master , he told him the whole story .","Q: what did the poor man do after he could not find his strange visitor ?
A: put up his spade , he wended his way homewards , and going straight to his master , he told him the whole story , and suggested that in future the peats should be taken from the other end of the moor ."
EV304,high,Easy,"Full context:
[S0] mike by the stove thought that things were going from bad to worse , and this was the truth , since the further he went the warmer it grew .
[S1] the part of the country in which he was traveling was so parched and dried that not a drop of water was to be found , and he was half - dead with thirst .
[S2] for a long time he hesitated before biting into the last lemon ; but at last there was nothing else left to do .
[S3] when he had bitten into it , a princess looked out : she was the most beautiful in twelve kingdoms , and she cried that if she could have no water , she must die on the spot .
[S4] mike by the stove ran about and looked for water , and this time he met the king 's miller , who showed him the way to the mill - pond .
[S5] when he had come with her to the mill - pond , and had given her water , she came completely out of the lemon .
[S6] but she had nothing to wear , and mike by the stove had to give her his smock .
[S7] she put it on , and hid in a tree ; while he was to go to the castle and bring her clothes , and tell the king he had found her , and how it had all happened .
[S8] meanwhile the cook had come down to the pond to fetch water .
[S9] when she saw the lovely face that was reflected in the pond , she thought it was her own , and was so pleased that she began to dance and jump around , because she had grown so beautiful .

QA:
Q: what did the princess do after she was given the water ?
A: came completely out of the lemon .",[5],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,three-lemons,303,action,local,explicit,"[S0] mike by the stove thought that things were going from bad to worse , and this was the truth , since the further he went the warmer it grew .
[S1] the part of the country in which he was traveling was so parched and dried that not a drop of water was to be found , and he was half - dead with thirst .
[S2] for a long time he hesitated before biting into the last lemon ; but at last there was nothing else left to do .
[S3] when he had bitten into it , a princess looked out : she was the most beautiful in twelve kingdoms , and she cried that if she could have no water , she must die on the spot .
[S4] mike by the stove ran about and looked for water , and this time he met the king 's miller , who showed him the way to the mill - pond .
[S5] when he had come with her to the mill - pond , and had given her water , she came completely out of the lemon .
[S6] but she had nothing to wear , and mike by the stove had to give her his smock .
[S7] she put it on , and hid in a tree ; while he was to go to the castle and bring her clothes , and tell the king he had found her , and how it had all happened .
[S8] meanwhile the cook had come down to the pond to fetch water .
[S9] when she saw the lovely face that was reflected in the pond , she thought it was her own , and was so pleased that she began to dance and jump around , because she had grown so beautiful .",,Easy,[5],yes,,"[S5] when he had come with her to the mill - pond , and had given her water , she came completely out of the lemon .","Q: what did the princess do after she was given the water ?
A: came completely out of the lemon ."
EV305,high,Easy,"Full context:
[S0] in the place to which they came all was adorned with silver plates and dishes , and with ornaments of silver , and ola thought that the king himself had nothing finer .
[S1] they offered him a drink , which he drank ; but he would not eat , for the food did not seem to him to be appetizing .
[S2] suddenly the man with the gilded goat 's horns came in , and gave ola a shove before he knew it ; but ola came back at him as before , and so they beat and pulled each other through all the rooms , and along all the walls .
[S3] ola was of the opinion that they had been at it all night long ; but by that time the scuffle had lasted over fourteen days , and they had already tolled the church bells for him on three successive thursday evenings .
[S4] on the third thursday evening he was in ill ease , for the people in the hill had in mind to thrust him forth .
[S5] when the bells stopped ringing , he sat at a crack in the hill , with his head looking out .
[S6] had not a man come by and happened to spy him , and told the people to keep on ringing the church - bells , the hill would have closed over him again , and he would probably still be inside .
[S7] but when he came out he had been so badly beaten , and was so miserable , that it passed all measure .
[S8] the lumps on his head were each bigger than the other , his whole body was black and blue , and he was quite out of his mind .
[S9] and from time to time he would leap up , run off and try to get back into the hill to take up his quarrel again , and fight for the gilded goat 's horns .
[S10] for those he wanted to break from the giant 's forehead .

QA:
Q: how long did the scuffle last ?
A: over fourteen days .",[3],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,ola-storbaekkjen,304,action,local,explicit,"[S0] in the place to which they came all was adorned with silver plates and dishes , and with ornaments of silver , and ola thought that the king himself had nothing finer .
[S1] they offered him a drink , which he drank ; but he would not eat , for the food did not seem to him to be appetizing .
[S2] suddenly the man with the gilded goat 's horns came in , and gave ola a shove before he knew it ; but ola came back at him as before , and so they beat and pulled each other through all the rooms , and along all the walls .
[S3] ola was of the opinion that they had been at it all night long ; but by that time the scuffle had lasted over fourteen days , and they had already tolled the church bells for him on three successive thursday evenings .
[S4] on the third thursday evening he was in ill ease , for the people in the hill had in mind to thrust him forth .
[S5] when the bells stopped ringing , he sat at a crack in the hill , with his head looking out .
[S6] had not a man come by and happened to spy him , and told the people to keep on ringing the church - bells , the hill would have closed over him again , and he would probably still be inside .
[S7] but when he came out he had been so badly beaten , and was so miserable , that it passed all measure .
[S8] the lumps on his head were each bigger than the other , his whole body was black and blue , and he was quite out of his mind .
[S9] and from time to time he would leap up , run off and try to get back into the hill to take up his quarrel again , and fight for the gilded goat 's horns .
[S10] for those he wanted to break from the giant 's forehead .",,Easy,[3],yes,,"[S3] ola was of the opinion that they had been at it all night long ; but by that time the scuffle had lasted over fourteen days , and they had already tolled the church bells for him on three successive thursday evenings .","Q: how long did the scuffle last ?
A: over fourteen days ."
EV306,high,Easy,"Full context:
[S0] he spoke no more , and as the sun fell out of view the light had gone from his face .
[S1] the family stood still , as if they expected to hear something further .
[S2] but when they came to his side and called him by name , his spirit did not answer .
[S3] it was in another world .
[S4] the mother and daughter lamented aloud , but the elder son clothed himself in silence , as though it had been a mantle .
[S5] he took his course as though nothing had occurred .
[S6] he exerted himself to supply , with his bow and net , the wants of the little household , but he never made mention of his father .
[S7] five moons had filled and waned , and the sixth was near its full , when the mother also died .
[S8] in her last moments she pressed the fulfillment of their father 's wish .

QA:
Q: what did the mother and daughter do after the spirit did not answer ?
A: lamented aloud .",[4],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,sheem-the-forsaken-boy,305,action,local,explicit,"[S0] he spoke no more , and as the sun fell out of view the light had gone from his face .
[S1] the family stood still , as if they expected to hear something further .
[S2] but when they came to his side and called him by name , his spirit did not answer .
[S3] it was in another world .
[S4] the mother and daughter lamented aloud , but the elder son clothed himself in silence , as though it had been a mantle .
[S5] he took his course as though nothing had occurred .
[S6] he exerted himself to supply , with his bow and net , the wants of the little household , but he never made mention of his father .
[S7] five moons had filled and waned , and the sixth was near its full , when the mother also died .
[S8] in her last moments she pressed the fulfillment of their father 's wish .",,Easy,[4],yes,,"[S4] the mother and daughter lamented aloud , but the elder son clothed himself in silence , as though it had been a mantle .","Q: what did the mother and daughter do after the spirit did not answer ?
A: lamented aloud ."
EV307,high,Easy,"Full context:
[S0] which last sentence was both unjust and untrue , for the poor wolf looked as lean and badly nourished as he could possibly be .
[S1] so back they both went to the cave , arguing all the way .
[S2] the fox declaring that the wolf must have been the thief , and the wolf protesting his innocence .
[S3] "" are you ready to swear to it ? "" said the fox at last ; though why he asked such a question , dear only knows .
[S4] "" yes , i am , "" replied the wolf firmly ; and , standing in the middle of the cave , and holding one paw up solemnly he swore this awful oath : "" if it be that i stole the butter ; if it be , if it be-- may a fateful , fell disease fall on me , fall on me . ""

QA:
Q: what did the wolf do to prove his innocence ?
A: swore this awful oath .",[4],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-fox-and-the-wolf,306,action,local,explicit,"[S0] which last sentence was both unjust and untrue , for the poor wolf looked as lean and badly nourished as he could possibly be .
[S1] so back they both went to the cave , arguing all the way .
[S2] the fox declaring that the wolf must have been the thief , and the wolf protesting his innocence .
[S3] "" are you ready to swear to it ? "" said the fox at last ; though why he asked such a question , dear only knows .
[S4] "" yes , i am , "" replied the wolf firmly ; and , standing in the middle of the cave , and holding one paw up solemnly he swore this awful oath : "" if it be that i stole the butter ; if it be , if it be-- may a fateful , fell disease fall on me , fall on me . """,,Easy,[4],yes,,"[S4] "" yes , i am , "" replied the wolf firmly ; and , standing in the middle of the cave , and holding one paw up solemnly he swore this awful oath : "" if it be that i stole the butter ; if it be , if it be-- may a fateful , fell disease fall on me , fall on me . ""","Q: what did the wolf do to prove his innocence ?
A: swore this awful oath ."
EV308,high,Easy,"Full context:
[S0] once upon a time there was a poor tenant farmer who had a number of children whom he could feed but poorly , and had to clothe in the scantiest way .
[S1] they were all handsome ; but the most beautiful , after all , was the youngest daughter .
[S2] she was beautiful beyond all telling .

QA:
Q: what did all the children look like ?
A: handsome .",[1],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,east-of-sun-and-west-of-moon,307,character,local,explicit,"[S0] once upon a time there was a poor tenant farmer who had a number of children whom he could feed but poorly , and had to clothe in the scantiest way .
[S1] they were all handsome ; but the most beautiful , after all , was the youngest daughter .
[S2] she was beautiful beyond all telling .",,Easy,[1],yes,,"[S1] they were all handsome ; but the most beautiful , after all , was the youngest daughter .","Q: what did all the children look like ?
A: handsome ."
EV309,high,Easy,"Full context:
[S0] john blessom once upon a time had gone down to copenhagen to carry on a suit at law , for in those days one could not get justice in the land of norroway ; and if a man wanted his rights , there was nothing left for him to do but to travel to copenhagen .
[S1] this is what blessom had done , and what his son did after him , for he , too , carried on a law - suit .
[S2] now it chanced that on christmas eve john had had speech with the gentleman in authority , and had attended to his business , and was going along the street in a low - spirited manner , for he was homesick .
[S3] and as he went along , a man from vaage , in a white blouse , with a knapsack , and buttons as big as silver dollars , passed him .
[S4] he was a large , heavily - built man .
[S5] it seemed to blessom that he must know him ; but he was walking very fast .

QA:
Q: where had john blessom gone down to ?
A: copenhagen .",[0],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,lord-of-hill-and-john-blessom,308,setting,local,explicit,"[S0] john blessom once upon a time had gone down to copenhagen to carry on a suit at law , for in those days one could not get justice in the land of norroway ; and if a man wanted his rights , there was nothing left for him to do but to travel to copenhagen .
[S1] this is what blessom had done , and what his son did after him , for he , too , carried on a law - suit .
[S2] now it chanced that on christmas eve john had had speech with the gentleman in authority , and had attended to his business , and was going along the street in a low - spirited manner , for he was homesick .
[S3] and as he went along , a man from vaage , in a white blouse , with a knapsack , and buttons as big as silver dollars , passed him .
[S4] he was a large , heavily - built man .
[S5] it seemed to blessom that he must know him ; but he was walking very fast .",,Easy,[0],yes,,"[S0] john blessom once upon a time had gone down to copenhagen to carry on a suit at law , for in those days one could not get justice in the land of norroway ; and if a man wanted his rights , there was nothing left for him to do but to travel to copenhagen .","Q: where had john blessom gone down to ?
A: copenhagen ."
EV310,high,Easy,"Full context:
[S0] now the poor labourer was but a clumsy dancer , and he held back with a shamefaced air .
[S1] but the fairy who had been chosen to be his partner reached up and seized his hands , and lo !
[S2] some strange magic seemed to enter into his veins .
[S3] for in a moment he found himself waltzing and whirling , sliding and bowing , as if he had done nothing else but dance all his life .
[S4] and , strangest thing of all !
[S5] he forgot about his home and his children .
[S6] he felt so happy that he had no longer the slightest desire to leave the fairies ' company .
[S7] all night long the merriment went on .
[S8] the little folk danced and danced as if they were mad , and the farm man danced with them , until at last a shrill sound came over the moor .
[S9] it was the cock from the farmyard crowing its loudest to welcome the dawn .

QA:
Q: why did the poor man start dancing ?
A: some strange magic seemed to enter into his veins .",[2],,,,,,1,yes,yes,Explicit FairytaleQA item; answer sentence selected by answer-text overlap.,the-fairies-of-merlin-crag,309,causal relationship,local,explicit,"[S0] now the poor labourer was but a clumsy dancer , and he held back with a shamefaced air .
[S1] but the fairy who had been chosen to be his partner reached up and seized his hands , and lo !
[S2] some strange magic seemed to enter into his veins .
[S3] for in a moment he found himself waltzing and whirling , sliding and bowing , as if he had done nothing else but dance all his life .
[S4] and , strangest thing of all !
[S5] he forgot about his home and his children .
[S6] he felt so happy that he had no longer the slightest desire to leave the fairies ' company .
[S7] all night long the merriment went on .
[S8] the little folk danced and danced as if they were mad , and the farm man danced with them , until at last a shrill sound came over the moor .
[S9] it was the cock from the farmyard crowing its loudest to welcome the dawn .",,Easy,[2],yes,,[S2] some strange magic seemed to enter into his veins .,"Q: why did the poor man start dancing ?
A: some strange magic seemed to enter into his veins ."
