sample_id,annotation_priority,suggested_difficulty_label,full_context_qa,required_evidence_ids,human_valid,human_difficulty_label,human_answer_directly_found,human_evidence_ids,human_notes,num_required_sentences,suggested_answer_directly_found,blind_sufficient,blind_reason,story_name,source_index,attribute,fairytale_scope,fairytale_explicitness,full_context_numbered,full_context_zh,removal_summary,selector_difficulty,selector_evidence_ids,selector_answer_directly_found,selector_reason,evidence_context_zh,qa_zh,evidence_context,qa
EV985,high,Easy,"Full context:
[S0] all would have gone well if farquhar had only looked where he was going .
[S1] he did not , being deeply engaged in making love to a young fairy maiden by his side , so he never saw a cottage that was standing right in his way .
[S2] he struck against the chimney and stuck fast in the thatch .
[S3] his companions sped merrily on , not noticing what had befallen him .
[S4] he was left to disentangle himself as best he could .
[S5] as he was doing so he chanced to glance down the wide chimney .
[S6] in the cottage kitchen he saw a comely young woman dandling a rosy - cheeked baby .

QA:
Q: why did farquhar's friends sped on merrily ?
A: they did not notice what had befallen him .",[3],,,,,,1,yes,yes,S3 directly states that Farquhar's friends sped on merrily because they did not notice what had befallen him.,farquhar-macneill,984,causal relationship,local,implicit,"[S0] all would have gone well if farquhar had only looked where he was going .
[S1] he did not , being deeply engaged in making love to a young fairy maiden by his side , so he never saw a cottage that was standing right in his way .
[S2] he struck against the chimney and stuck fast in the thatch .
[S3] his companions sped merrily on , not noticing what had befallen him .
[S4] he was left to disentangle himself as best he could .
[S5] as he was doing so he chanced to glance down the wide chimney .
[S6] in the cottage kitchen he saw a comely young woman dandling a rosy - cheeked baby .",,,Easy,[3],yes,S3 directly states that Farquhar's companions sped merrily on because they did not notice what had befallen him.,,,"[S3] his companions sped merrily on , not noticing what had befallen him .","Q: why did farquhar's friends sped on merrily ?
A: they did not notice what had befallen him ."
EV986,high,Easy,"Full context:
[S0] now , when farquhar had been in his mortal state , he had been very fond of children .
[S1] a word of blessing rose to his lips .
[S2] "" god shield you , "" he said , as he looked at the mother and child , little guessing what the result of his words would be .
[S3] for scarce had the holy name crossed his lips than the spell which had held him so long was broken .
[S4] he became as he had been before .
[S5] instantly his thoughts flew to his friends at home , and to the new mistress whom he had left waiting for her sieve .
[S6] he felt sure that some weeks must have elapsed since he set out to fetch it .
[S7] so he made haste to go to the farm .
[S8] when he arrived in the neighbourhood everything seemed strange .
[S9] there were woods where no woods used to be , and walls where no walls used to be .
[S10] to his amazement , he could not find his way to the farm .
[S11] worst of all , in the place where he expected to find his father 's house he found nothing but a crop of rank green nettles .
[S12] in great distress he looked about for someone to tell him what it all meant .
[S13] at last he found an old man thatching the roof of a cottage .
[S14] this old man was so thin and grey that at first farquhar took him for a patch of mist .
[S15] as he went nearer he saw that he was a human being , and , going close up to the wall and shouting with all his might .
[S16] he felt sure that such an ancient man would be deaf .
[S17] he asked him if he could tell him where his friends had gone to , and what had happened to his father 's dwelling .

QA:
Q: what will happen after farquhar goes to his neighborhood ?
A: he will not be able to find his home .",[10],,,,,,1,yes,yes,"S10 directly states that he could not find his way to the farm, which supports the claim that he will not be able to find his home.",farquhar-macneill,985,prediction,summary,implicit,"[S0] now , when farquhar had been in his mortal state , he had been very fond of children .
[S1] a word of blessing rose to his lips .
[S2] "" god shield you , "" he said , as he looked at the mother and child , little guessing what the result of his words would be .
[S3] for scarce had the holy name crossed his lips than the spell which had held him so long was broken .
[S4] he became as he had been before .
[S5] instantly his thoughts flew to his friends at home , and to the new mistress whom he had left waiting for her sieve .
[S6] he felt sure that some weeks must have elapsed since he set out to fetch it .
[S7] so he made haste to go to the farm .
[S8] when he arrived in the neighbourhood everything seemed strange .
[S9] there were woods where no woods used to be , and walls where no walls used to be .
[S10] to his amazement , he could not find his way to the farm .
[S11] worst of all , in the place where he expected to find his father 's house he found nothing but a crop of rank green nettles .
[S12] in great distress he looked about for someone to tell him what it all meant .
[S13] at last he found an old man thatching the roof of a cottage .
[S14] this old man was so thin and grey that at first farquhar took him for a patch of mist .
[S15] as he went nearer he saw that he was a human being , and , going close up to the wall and shouting with all his might .
[S16] he felt sure that such an ancient man would be deaf .
[S17] he asked him if he could tell him where his friends had gone to , and what had happened to his father 's dwelling .",,,Easy,[10],yes,"S10 directly states that Farquhar could not find his way to the farm, which aligns with the target answer about not finding his home.",,,"[S10] to his amazement , he could not find his way to the farm .","Q: what will happen after farquhar goes to his neighborhood ?
A: he will not be able to find his home ."
EV987,repair,Medium,"Full context:
[S0] she gave him , too , a bowl of shining metal .
[S1] she directed him to put in his girdle a blade of scented sword - grass , and to proceed the next morning to the banks of the lake , which was no other than that over which the red head reigned .
[S2] now hah - undo - tah , or the red head , was a most powerful sorcerer , living upon an island in the centre of his realm of water , and he was the terror of all the country .
[S3] she informed him that there would be many indians upon the island , who , as soon as they saw him use the shining bowl to drink with , would come and solicit him to be their wife , and to take him over to the island .
[S4] these offers he was to refuse , and to say that he had come a great distance to be the wife of the red head , and that if the chief could not seek her for himself , she would return to her village .
[S5] she said , that as soon as the red head heard of this he would come for her in his own canoe , in which she must embark .
[S6] where he now stood it was beautiful day .
[S7] the heavens were clear , and the sun shone out as brightly to strong desire as on the first morning when he had put forth his little head from the door of his father 's lodge .
[S8] he had not been long there , sauntering along the beach , when he displayed the glittering bowl by dipping water from the lake .
[S9] very soon a number of canoes came off from the island .
[S10] the men admired his dress , and were charmed with his beauty , and almost with one voice they all made proposals of marriage .
[S11] these , strong desire promptly declined .
[S12] when this was reported to red head , he ordered his royal bark to be launched by his chosen men of the oar , and crossed over to see this wonderful girl .
[S13] as they approached the shore , strong desire saw that the ribs of the sorcerer 's canoe were formed of living rattlesnakes , whose heads pointed outward to guard him from his enemies .
[S14] being invited , he had no sooner stepped into the canoe , than they began to hiss and rattle furiously , which put him in a great fright ; but the magician spoke to them , when they became pacified and quiet .
[S15] shortly after they were at the landing upon the island .
[S16] the marriage took place immediately ; and the bride made presents of various valuables which had been furnished her by the old witch who inhabited the cloudy lodge .

QA:
Q: why did strong desire decline the proposals of marriage ?
A: he was a man .",[10],,,,,,1,no,no,The evidence sentences do not provide any information about why Strong Desire declined the proposals of marriage.,strong-desire-and-the-red-sorcerer,986,causal relationship,summary,implicit,"[S0] she gave him , too , a bowl of shining metal .
[S1] she directed him to put in his girdle a blade of scented sword - grass , and to proceed the next morning to the banks of the lake , which was no other than that over which the red head reigned .
[S2] now hah - undo - tah , or the red head , was a most powerful sorcerer , living upon an island in the centre of his realm of water , and he was the terror of all the country .
[S3] she informed him that there would be many indians upon the island , who , as soon as they saw him use the shining bowl to drink with , would come and solicit him to be their wife , and to take him over to the island .
[S4] these offers he was to refuse , and to say that he had come a great distance to be the wife of the red head , and that if the chief could not seek her for himself , she would return to her village .
[S5] she said , that as soon as the red head heard of this he would come for her in his own canoe , in which she must embark .
[S6] where he now stood it was beautiful day .
[S7] the heavens were clear , and the sun shone out as brightly to strong desire as on the first morning when he had put forth his little head from the door of his father 's lodge .
[S8] he had not been long there , sauntering along the beach , when he displayed the glittering bowl by dipping water from the lake .
[S9] very soon a number of canoes came off from the island .
[S10] the men admired his dress , and were charmed with his beauty , and almost with one voice they all made proposals of marriage .
[S11] these , strong desire promptly declined .
[S12] when this was reported to red head , he ordered his royal bark to be launched by his chosen men of the oar , and crossed over to see this wonderful girl .
[S13] as they approached the shore , strong desire saw that the ribs of the sorcerer 's canoe were formed of living rattlesnakes , whose heads pointed outward to guard him from his enemies .
[S14] being invited , he had no sooner stepped into the canoe , than they began to hiss and rattle furiously , which put him in a great fright ; but the magician spoke to them , when they became pacified and quiet .
[S15] shortly after they were at the landing upon the island .
[S16] the marriage took place immediately ; and the bride made presents of various valuables which had been furnished her by the old witch who inhabited the cloudy lodge .",,,Medium,[10],no,"S10 implies Strong Desire is a man by describing 'the men' making proposals, but the decline itself is stated in S11. The target answer requires inferring gender from the context.",,,"[S10] the men admired his dress , and were charmed with his beauty , and almost with one voice they all made proposals of marriage .","Q: why did strong desire decline the proposals of marriage ?
A: he was a man ."
EV988,high,Medium,"Full context:
[S0] when he recounted his adventures they believed him mad .
[S1] the young men laughed at him - him , strong desire - who feared to walk to the river at night - time .
[S2] he left the lodge , and ere their laughter had ceased , returned with his trophy .
[S3] he held aloft the head of the red sorcerer , with the great ghastly leer which lighted it up before his last sleep , at prospect of a thousand future murders , fresh upon it .
[S4] it was easily recognized , and the young men who had scoffed at strong desire shrunk into the corners out of sight .
[S5] strong desire had conquered the terrible red head !
[S6] all doubts of the truth of his adventures were dispelled .
[S7] he was greeted with joy , and placed among the first warriors of the nation .
[S8] he finally became a chief , and his family were ever after respected and esteemed .

QA:
Q: how will the young men feel when they saw the head of the red sorcerer ?
A: scared .",[4],,,,,,1,no,yes,"S4 implies that the young men felt fear or intimidation when they saw the head of the red sorcerer, as they 'shrank into the corners out of sight,' which supports the simple inference that they felt scared.",strong-desire-and-the-red-sorcerer,987,feeling,local,implicit,"[S0] when he recounted his adventures they believed him mad .
[S1] the young men laughed at him - him , strong desire - who feared to walk to the river at night - time .
[S2] he left the lodge , and ere their laughter had ceased , returned with his trophy .
[S3] he held aloft the head of the red sorcerer , with the great ghastly leer which lighted it up before his last sleep , at prospect of a thousand future murders , fresh upon it .
[S4] it was easily recognized , and the young men who had scoffed at strong desire shrunk into the corners out of sight .
[S5] strong desire had conquered the terrible red head !
[S6] all doubts of the truth of his adventures were dispelled .
[S7] he was greeted with joy , and placed among the first warriors of the nation .
[S8] he finally became a chief , and his family were ever after respected and esteemed .",,,Medium,[4],no,"S4 describes the young men shrinking into corners, which supports the inference that they felt scared but is not explicitly stated.",,,"[S4] it was easily recognized , and the young men who had scoffed at strong desire shrunk into the corners out of sight .","Q: how will the young men feel when they saw the head of the red sorcerer ?
A: scared ."
EV989,repair,Hard,"Full context:
[S0] when he recounted his adventures they believed him mad .
[S1] the young men laughed at him - him , strong desire - who feared to walk to the river at night - time .
[S2] he left the lodge , and ere their laughter had ceased , returned with his trophy .
[S3] he held aloft the head of the red sorcerer , with the great ghastly leer which lighted it up before his last sleep , at prospect of a thousand future murders , fresh upon it .
[S4] it was easily recognized , and the young men who had scoffed at strong desire shrunk into the corners out of sight .
[S5] strong desire had conquered the terrible red head !
[S6] all doubts of the truth of his adventures were dispelled .
[S7] he was greeted with joy , and placed among the first warriors of the nation .
[S8] he finally became a chief , and his family were ever after respected and esteemed .

QA:
Q: why did the young men believe strong desire was mad ?
A: they did not believe that strong desire could kill red head .","[0, 4]",,,,,,2,no,no,"The context does not provide evidence that the young men believed strong desire could kill red head, so the target answer is unsupported.",strong-desire-and-the-red-sorcerer,988,causal relationship,local,implicit,"[S0] when he recounted his adventures they believed him mad .
[S1] the young men laughed at him - him , strong desire - who feared to walk to the river at night - time .
[S2] he left the lodge , and ere their laughter had ceased , returned with his trophy .
[S3] he held aloft the head of the red sorcerer , with the great ghastly leer which lighted it up before his last sleep , at prospect of a thousand future murders , fresh upon it .
[S4] it was easily recognized , and the young men who had scoffed at strong desire shrunk into the corners out of sight .
[S5] strong desire had conquered the terrible red head !
[S6] all doubts of the truth of his adventures were dispelled .
[S7] he was greeted with joy , and placed among the first warriors of the nation .
[S8] he finally became a chief , and his family were ever after respected and esteemed .",,,Hard,"[0, 4]",no,"S0 establishes their initial belief in his madness, and S4 shows their reaction to the red sorcerer's head, implying they doubted his ability to kill the Red Head before seeing proof.",,,"[S0] when he recounted his adventures they believed him mad .
[S4] it was easily recognized , and the young men who had scoffed at strong desire shrunk into the corners out of sight .","Q: why did the young men believe strong desire was mad ?
A: they did not believe that strong desire could kill red head ."
EV990,repair,Medium,"Full context:
[S0] "" on reaching the shore , "" added the little old woman , "" you must consent to be his wife ; and in the evening you are to induce him to take a walk out of the village , and when you have reached a lonesome spot , use the first opportunity to cut off his head with the blade of grass . ""
[S1] she also gave strong desire general advice how he was to conduct himself to sustain his assumed character of a woman .
[S2] his fear would scarcely permit him to consent to engage in an adventure attended with so much danger ; but the recollection of his father 's looks and reproaches of the want of courage , decided him .
[S3] early in the morning he left the lodge of the little old woman who makes war , which was clouded in a heavy brackish fog , so thick and heavy to breathe , that he with difficulty made his way forth .
[S4] when he turned to look back for it , it was gone .
[S5] he took the hard beaten path to the banks of the lake , and made for the water at a point directly opposite the red head 's lodge .

QA:
Q: why will the indians want to make strong desire their wife ?
A: strong desire appears to be a woman .",[4],,,,,,1,no,no,The context does not provide any information about why the Indians want to make strong desire their wife or indicate that strong desire is a woman.,strong-desire-and-the-red-sorcerer,989,causal relationship,local,implicit,"[S0] "" on reaching the shore , "" added the little old woman , "" you must consent to be his wife ; and in the evening you are to induce him to take a walk out of the village , and when you have reached a lonesome spot , use the first opportunity to cut off his head with the blade of grass . ""
[S1] she also gave strong desire general advice how he was to conduct himself to sustain his assumed character of a woman .
[S2] his fear would scarcely permit him to consent to engage in an adventure attended with so much danger ; but the recollection of his father 's looks and reproaches of the want of courage , decided him .
[S3] early in the morning he left the lodge of the little old woman who makes war , which was clouded in a heavy brackish fog , so thick and heavy to breathe , that he with difficulty made his way forth .
[S4] when he turned to look back for it , it was gone .
[S5] he took the hard beaten path to the banks of the lake , and made for the water at a point directly opposite the red head 's lodge .",,,Medium,[4],no,"S4 states the men were charmed by his beauty (implying he appeared as a woman), and S6 explicitly refers to him as a 'girl,' confirming his gender presentation.",,,"[S4] when he turned to look back for it , it was gone .","Q: why will the indians want to make strong desire their wife ?
A: strong desire appears to be a woman ."
EV991,repair,Hard,"Full context:
[S0] where he now stood it was beautiful day .
[S1] the heavens were clear , and the sun shone out as brightly to strong desire as on the first morning when he had put forth his little head from the door of his father 's lodge .
[S2] he had not been long there , sauntering along the beach , when he displayed the glittering bowl by dipping water from the lake .
[S3] very soon a number of canoes came off from the island .
[S4] the men admired his dress , and were charmed with his beauty , and almost with one voice they all made proposals of marriage .
[S5] these , strong desire promptly declined .
[S6] when this was reported to red head , he ordered his royal bark to be launched by his chosen men of the oar , and crossed over to see this wonderful girl .
[S7] as they approached the shore , strong desire saw that the ribs of the sorcerer 's canoe were formed of living rattlesnakes , whose heads pointed outward to guard him from his enemies .
[S8] being invited , he had no sooner stepped into the canoe , than they began to hiss and rattle furiously , which put him in a great fright ; but the magician spoke to them , when they became pacified and quiet .
[S9] shortly after they were at the landing upon the island .
[S10] the marriage took place immediately ; and the bride made presents of various valuables which had been furnished her by the old witch who inhabited the cloudy lodge .

QA:
Q: how will red head feel marrying strong desire ?
A: lucky .","[4, 10]",,,,,,2,no,no,The evidence sentences do not provide any information about how 'red head' feels or their emotional state regarding the marriage to 'strong desire'.,strong-desire-and-the-red-sorcerer,990,prediction,local,implicit,"[S0] where he now stood it was beautiful day .
[S1] the heavens were clear , and the sun shone out as brightly to strong desire as on the first morning when he had put forth his little head from the door of his father 's lodge .
[S2] he had not been long there , sauntering along the beach , when he displayed the glittering bowl by dipping water from the lake .
[S3] very soon a number of canoes came off from the island .
[S4] the men admired his dress , and were charmed with his beauty , and almost with one voice they all made proposals of marriage .
[S5] these , strong desire promptly declined .
[S6] when this was reported to red head , he ordered his royal bark to be launched by his chosen men of the oar , and crossed over to see this wonderful girl .
[S7] as they approached the shore , strong desire saw that the ribs of the sorcerer 's canoe were formed of living rattlesnakes , whose heads pointed outward to guard him from his enemies .
[S8] being invited , he had no sooner stepped into the canoe , than they began to hiss and rattle furiously , which put him in a great fright ; but the magician spoke to them , when they became pacified and quiet .
[S9] shortly after they were at the landing upon the island .
[S10] the marriage took place immediately ; and the bride made presents of various valuables which had been furnished her by the old witch who inhabited the cloudy lodge .",,,Hard,"[4, 10]",no,"S4 indicates the men were charmed by his beauty, and S10 confirms the marriage occurred, implying Red Head felt lucky due to the bride's desirability and the successful union.",,,"[S4] the men admired his dress , and were charmed with his beauty , and almost with one voice they all made proposals of marriage .
[S10] the marriage took place immediately ; and the bride made presents of various valuables which had been furnished her by the old witch who inhabited the cloudy lodge .","Q: how will red head feel marrying strong desire ?
A: lucky ."
EV992,repair,Hard,"Full context:
[S0] "" and you will kill hundreds more , "" interposed strong desire , in the most insinuating manner imaginable .
[S1] "" just so , my dear , "" red head replied , with a great leer ; "" thousands . ""
[S2] "" there will be no end to my delicious murders . ""
[S3] "" i love dearly to kill people . ""
[S4] "" i would like to kill you if you were not my wife . ""
[S5] "" there , there , "" said strong desire , with the coaxing air of a little coquette , "" go to sleep ; that 's a good red head . ""
[S6] no other subject of conversation occurring to the chief , now that he had exhausted the delightful topic of wholesale murder , he straightway fell into a deep sleep .
[S7] the chance so anxiously sought for had come ; and strong desire , with a smiling eye , drawing his blade of grass with lightning swiftness once across the neck of the red head , severed the huge and wicked head from the body .
[S8] in a moment , stripping off his woman 's dress , underneath which he had all along worn his male attire , strong desire seized the bleeding trophy , plunged into the lake , and swam safely over to the main shore .
[S9] he had scarcely reached it , when , looking back , he saw amid the darkness the torches of persons come out in search of the new married couple .
[S10] he listened until they had found the headless body , and he heard their piercing shrieks of rage and sorrow as he took his way to the lodge of his kind adviser .

QA:
Q: why did red head not want to kill strong desire ?
A: strong desire was beautiful .","[1, 4]",,,,,,2,no,no,The evidence sentences do not provide any information about Strong Desire being beautiful or Red Head's reasons for not wanting to kill her.,strong-desire-and-the-red-sorcerer,991,causal relationship,local,implicit,"[S0] "" and you will kill hundreds more , "" interposed strong desire , in the most insinuating manner imaginable .
[S1] "" just so , my dear , "" red head replied , with a great leer ; "" thousands . ""
[S2] "" there will be no end to my delicious murders . ""
[S3] "" i love dearly to kill people . ""
[S4] "" i would like to kill you if you were not my wife . ""
[S5] "" there , there , "" said strong desire , with the coaxing air of a little coquette , "" go to sleep ; that 's a good red head . ""
[S6] no other subject of conversation occurring to the chief , now that he had exhausted the delightful topic of wholesale murder , he straightway fell into a deep sleep .
[S7] the chance so anxiously sought for had come ; and strong desire , with a smiling eye , drawing his blade of grass with lightning swiftness once across the neck of the red head , severed the huge and wicked head from the body .
[S8] in a moment , stripping off his woman 's dress , underneath which he had all along worn his male attire , strong desire seized the bleeding trophy , plunged into the lake , and swam safely over to the main shore .
[S9] he had scarcely reached it , when , looking back , he saw amid the darkness the torches of persons come out in search of the new married couple .
[S10] he listened until they had found the headless body , and he heard their piercing shrieks of rage and sorrow as he took his way to the lodge of his kind adviser .",,,Hard,"[1, 4]",no,"S1 shows Red Head's admiration for Strong Desire's beauty, and S4 explicitly states he refrained from killing him because he was his wife, linking beauty to the decision.",,,"[S1] "" just so , my dear , "" red head replied , with a great leer ; "" thousands . ""
[S4] "" i would like to kill you if you were not my wife . ""","Q: why did red head not want to kill strong desire ?
A: strong desire was beautiful ."
EV993,repair,Medium,"Full context:
[S0] there was a man called odshedoph , or the child of strong desires , who had a wife and one son .
[S1] he had withdrawn his family from the village , where they had spent the winter , to the neighborhood of a distant forest , where game abounded .
[S2] this wood was a day 's travel from his winter home , and under its ample shadow the wife fixed the lodge , while the husband went out to hunt .
[S3] early in the evening he returned with a deer , and , being weary and athirst , he asked his son , whom he called strong desire , to go to the river for some water .
[S4] the son replied that it was dark , and he was afraid .
[S5] his father still urged him , saying that his mother , as well as himself , was tired , and the distance to the water very short .
[S6] but no persuasion could overcome the young man 's reluctance .
[S7] he refused to go .
[S8] "" ah , my son , "" said the father , at last , "" if you are afraid to go to the river , you will never kill the red head . ""
[S9] the stripling was deeply vexed by this observation ; it seemed to touch him to the very quick .
[S10] he mused in silence .
[S11] he refused to eat , and made no reply when spoken to .
[S12] he sat by the lodge door all the night through , looking up at the stars , and sighing like one sorely distressed .
[S13] the next day he asked his mother to dress the skin of the deer , and to make it into moccasins for him , while he busied himself in preparing a bow and arrows .
[S14] as soon as these were in readiness , he left the lodge one morning , at sunrise , without saying a word to his father or mother .
[S15] as he passed along , he fired one of his arrows into the air , which fell westward .
[S16] he took that course , and coming to the spot where the arrow had fallen , he was rejoiced to find it piercing the heart of a deer .

QA:
Q: why was strong desire afraid of the dark ?
A: he could not see .",[4],,,,,,1,no,no,"The evidence sentence mentions being afraid of the dark but does not provide the reason for the fear, such as 'he could not see'.",strong-desire-and-the-red-sorcerer,992,causal relationship,summary,implicit,"[S0] there was a man called odshedoph , or the child of strong desires , who had a wife and one son .
[S1] he had withdrawn his family from the village , where they had spent the winter , to the neighborhood of a distant forest , where game abounded .
[S2] this wood was a day 's travel from his winter home , and under its ample shadow the wife fixed the lodge , while the husband went out to hunt .
[S3] early in the evening he returned with a deer , and , being weary and athirst , he asked his son , whom he called strong desire , to go to the river for some water .
[S4] the son replied that it was dark , and he was afraid .
[S5] his father still urged him , saying that his mother , as well as himself , was tired , and the distance to the water very short .
[S6] but no persuasion could overcome the young man 's reluctance .
[S7] he refused to go .
[S8] "" ah , my son , "" said the father , at last , "" if you are afraid to go to the river , you will never kill the red head . ""
[S9] the stripling was deeply vexed by this observation ; it seemed to touch him to the very quick .
[S10] he mused in silence .
[S11] he refused to eat , and made no reply when spoken to .
[S12] he sat by the lodge door all the night through , looking up at the stars , and sighing like one sorely distressed .
[S13] the next day he asked his mother to dress the skin of the deer , and to make it into moccasins for him , while he busied himself in preparing a bow and arrows .
[S14] as soon as these were in readiness , he left the lodge one morning , at sunrise , without saying a word to his father or mother .
[S15] as he passed along , he fired one of his arrows into the air , which fell westward .
[S16] he took that course , and coming to the spot where the arrow had fallen , he was rejoiced to find it piercing the heart of a deer .",,,Medium,[4],no,"S4 directly states Strong Desire was afraid of the dark, but the reason (inability to see) is inferred from the context of darkness and fear.",,,"[S4] the son replied that it was dark , and he was afraid .","Q: why was strong desire afraid of the dark ?
A: he could not see ."
EV994,repair,Hard,"Full context:
[S0] when he recounted his adventures they believed him mad .
[S1] the young men laughed at him - him , strong desire - who feared to walk to the river at night - time .
[S2] he left the lodge , and ere their laughter had ceased , returned with his trophy .
[S3] he held aloft the head of the red sorcerer , with the great ghastly leer which lighted it up before his last sleep , at prospect of a thousand future murders , fresh upon it .
[S4] it was easily recognized , and the young men who had scoffed at strong desire shrunk into the corners out of sight .
[S5] strong desire had conquered the terrible red head !
[S6] all doubts of the truth of his adventures were dispelled .
[S7] he was greeted with joy , and placed among the first warriors of the nation .
[S8] he finally became a chief , and his family were ever after respected and esteemed .

QA:
Q: why was strong desire placed among the first warriors of the nation ?
A: strong desire overcame his fear .","[0, 1, 2, 3, 7]",,,,,,5,no,no,"The evidence sentences do not explicitly state that Strong Desire overcame his fear, nor do they directly link his placement among the first warriors to this claim.",strong-desire-and-the-red-sorcerer,993,causal relationship,local,implicit,"[S0] when he recounted his adventures they believed him mad .
[S1] the young men laughed at him - him , strong desire - who feared to walk to the river at night - time .
[S2] he left the lodge , and ere their laughter had ceased , returned with his trophy .
[S3] he held aloft the head of the red sorcerer , with the great ghastly leer which lighted it up before his last sleep , at prospect of a thousand future murders , fresh upon it .
[S4] it was easily recognized , and the young men who had scoffed at strong desire shrunk into the corners out of sight .
[S5] strong desire had conquered the terrible red head !
[S6] all doubts of the truth of his adventures were dispelled .
[S7] he was greeted with joy , and placed among the first warriors of the nation .
[S8] he finally became a chief , and his family were ever after respected and esteemed .",,,Hard,"[0, 1, 2, 3, 7]",no,"S0 and S1 establish his initial fear, S2-3 show his successful action overcoming it, and S7 confirms his elevated status as a warrior, requiring synthesis of his transformation.",,,"[S0] when he recounted his adventures they believed him mad .
[S1] the young men laughed at him - him , strong desire - who feared to walk to the river at night - time .
[S2] he left the lodge , and ere their laughter had ceased , returned with his trophy .
[S3] he held aloft the head of the red sorcerer , with the great ghastly leer which lighted it up before his last sleep , at prospect of a thousand future murders , fresh upon it .
[S7] he was greeted with joy , and placed among the first warriors of the nation .","Q: why was strong desire placed among the first warriors of the nation ?
A: strong desire overcame his fear ."
